Libraries that were subscribed to magazines on 06/30/2019
Library Nickname	Official Name	State	Country	Child Library Name
test51	8080 Test Library	Alabama	US	fixed format goodness
test51	8080 Test Library	Alabama	US	test1
test51	8080 Test Library	Alabama	US	test_2
chattoogaga	Chattooga County Public Library	Georgia	US	Summerville Branch
chattoogaga	Chattooga County Public Library	Georgia	US	Trion Public Library
leega	Lee County Library System	Georgia	US	Leesburg Branch
leega	Lee County Library System	Georgia	US	Oakland Branch
leega	Lee County Library System	Georgia	US	Redbone Branch
leega	Lee County Library System	Georgia	US	Smithville Branch
liveoakga	Live Oak Public Libraries	Georgia	US	Bull St. Library
liveoakga	Live Oak Public Libraries	Georgia	US	Carnegie Library
liveoakga	Live Oak Public Libraries	Georgia	US	Forest City Library
liveoakga	Live Oak Public Libraries	Georgia	US	Garden City Library
liveoakga	Live Oak Public Libraries	Georgia	US	Hinesville Library
liveoakga	Live Oak Public Libraries	Georgia	US	Islands Library
liveoakga	Live Oak Public Libraries	Georgia	US	Midway/Riceboro Library
liveoakga	Live Oak Public Libraries	Georgia	US	Oglethorpe Mall Library - Savannah
liveoakga	Live Oak Public Libraries	Georgia	US	Pooler Library
liveoakga	Live Oak Public Libraries	Georgia	US	Port City Library
liveoakga	Live Oak Public Libraries	Georgia	US	Rincon Library
liveoakga	Live Oak Public Libraries	Georgia	US	Southwest Chatham Library
liveoakga	Live Oak Public Libraries	Georgia	US	Springfield Library
liveoakga	Live Oak Public Libraries	Georgia	US	Tybee Library
liveoakga	Live Oak Public Libraries	Georgia	US	W.W. Law Library
liveoakga	Live Oak Public Libraries	Georgia	US	West Broad St. Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Alden District Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Barryton Public Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Bellaire Public Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Benzie Shores District Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Benzonia Public Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Betsie Valley District Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Big Rapids Community Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Cadillac Wexford Public Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Central Lake District Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Chase Township Public Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Darcy Library of Beulah
westmichiganmi	Mid-Michigan Library League	Michigan	US	Evart Public Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Glen Lake Community Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Hart Area Public Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Leelanau Township Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Leland Township Public Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	LeRoy Community Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Luther Area Public Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Mancelona Township Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Manistee County Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Marion (M. Alice Chapin Memorial) Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Mason County District Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	McBain Community Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Morton Township Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Pathfinder Community Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Pentwater Township Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Reed City Area District Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Richfield Township Public Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Richland Township Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Seville Township Public Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Shelby Area District Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Surrey Township Public Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Walkerville Public/School Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Walton Erickson Public Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Wheatland Township Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	White Pine District Library
chestateega	Chestatee Regional Library	Georgia	US	Dawson County Library
chestateega	Chestatee Regional Library	Georgia	US	Dawson County Satellite
chestateega	Chestatee Regional Library	Georgia	US	Lumpkin County Library
appletonwi	InfoSoup	Wisconsin	US	Algoma
appletonwi	InfoSoup	Wisconsin	US	Appleton
appletonwi	InfoSoup	Wisconsin	US	Baileys Harbor - Mc Ardle
appletonwi	InfoSoup	Wisconsin	US	Birnamwood
appletonwi	InfoSoup	Wisconsin	US	Black Creek
appletonwi	InfoSoup	Wisconsin	US	Bonduel
appletonwi	InfoSoup	Wisconsin	US	Clintonville
appletonwi	InfoSoup	Wisconsin	US	Coleman-Pound
appletonwi	InfoSoup	Wisconsin	US	Crivitz
appletonwi	InfoSoup	Wisconsin	US	Egg Harbor
appletonwi	InfoSoup	Wisconsin	US	Ephraim
appletonwi	InfoSoup	Wisconsin	US	Fish Creek
appletonwi	InfoSoup	Wisconsin	US	Florence
appletonwi	InfoSoup	Wisconsin	US	Forestville
appletonwi	InfoSoup	Wisconsin	US	Fremont - Neuschafer
appletonwi	InfoSoup	Wisconsin	US	Gillett
appletonwi	InfoSoup	Wisconsin	US	Goodman-Dunbar
appletonwi	InfoSoup	Wisconsin	US	Green Earth
appletonwi	InfoSoup	Wisconsin	US	Hortonville
appletonwi	InfoSoup	Wisconsin	US	Iola
appletonwi	InfoSoup	Wisconsin	US	Kaukauna
appletonwi	InfoSoup	Wisconsin	US	Kewaunee
appletonwi	InfoSoup	Wisconsin	US	Kimberly - James J. Siebers
appletonwi	InfoSoup	Wisconsin	US	Lakewood - Lakes Country
appletonwi	InfoSoup	Wisconsin	US	Lena
appletonwi	InfoSoup	Wisconsin	US	Little Chute - Gerard H. Van Hoof
appletonwi	InfoSoup	Wisconsin	US	Manawa - Sturm Memorial
appletonwi	InfoSoup	Wisconsin	US	Marinette - Stephenson
appletonwi	InfoSoup	Wisconsin	US	Marion
appletonwi	InfoSoup	Wisconsin	US	Mattoon-Hutchins
appletonwi	InfoSoup	Wisconsin	US	New London
appletonwi	InfoSoup	Wisconsin	US	Niagara
appletonwi	InfoSoup	Wisconsin	US	Oconto Falls
appletonwi	InfoSoup	Wisconsin	US	Oconto- Farnsworth
appletonwi	InfoSoup	Wisconsin	US	Oneida
appletonwi	InfoSoup	Wisconsin	US	Peshtigo
appletonwi	InfoSoup	Wisconsin	US	Scandinavia
appletonwi	InfoSoup	Wisconsin	US	Seymour - Muehl
appletonwi	InfoSoup	Wisconsin	US	Shawano City-County
appletonwi	InfoSoup	Wisconsin	US	Shiocton
appletonwi	InfoSoup	Wisconsin	US	Sister Bay/Liberty Grove
appletonwi	InfoSoup	Wisconsin	US	Sturgeon Bay
appletonwi	InfoSoup	Wisconsin	US	Suring Area
appletonwi	InfoSoup	Wisconsin	US	Tigerton Library
appletonwi	InfoSoup	Wisconsin	US	Washington Island
appletonwi	InfoSoup	Wisconsin	US	Waupaca Area
appletonwi	InfoSoup	Wisconsin	US	Wausaukee
appletonwi	InfoSoup	Wisconsin	US	Weyauwega
appletonwi	InfoSoup	Wisconsin	US	Wittenberg
doughertyga	Dougherty County Public Library	Georgia	US	Central Branch
doughertyga	Dougherty County Public Library	Georgia	US	Northwest Branch
doughertyga	Dougherty County Public Library	Georgia	US	Southside Branch
doughertyga	Dougherty County Public Library	Georgia	US	Tallulah Branch
doughertyga	Dougherty County Public Library	Georgia	US	Westtown Branch
houstonga	Houston County Public Library	Georgia	US	Centerville Branch Library
houstonga	Houston County Public Library	Georgia	US	Nola Brantley Memorial Library / Warner Robins
houstonga	Houston County Public Library	Georgia	US	Perry Branch Library
wyomingstatewy	Wyoming State Library	Wyoming	US	Albany County Library System
wyomingstatewy	Wyoming State Library	Wyoming	US	Big Horn County Library System
wyomingstatewy	Wyoming State Library	Wyoming	US	Campbell County Library
wyomingstatewy	Wyoming State Library	Wyoming	US	Carbon County Library System
wyomingstatewy	Wyoming State Library	Wyoming	US	Casper College Library
wyomingstatewy	Wyoming State Library	Wyoming	US	Central Wyo. College Library
wyomingstatewy	Wyoming State Library	Wyoming	US	Converse County Library System
wyomingstatewy	Wyoming State Library	Wyoming	US	Crook County Library System
wyomingstatewy	Wyoming State Library	Wyoming	US	Eastern Wyo. College Library
wyomingstatewy	Wyoming State Library	Wyoming	US	Fremont County Library System
wyomingstatewy	Wyoming State Library	Wyoming	US	Gillette College Elizabeth Kerns Daly Library
wyomingstatewy	Wyoming State Library	Wyoming	US	Goshen County Library
wyomingstatewy	Wyoming State Library	Wyoming	US	Hot Springs County Library
wyomingstatewy	Wyoming State Library	Wyoming	US	Johnson County Library System
wyomingstatewy	Wyoming State Library	Wyoming	US	Laramie County Community College Ludden Library
wyomingstatewy	Wyoming State Library	Wyoming	US	Laramie County Library System
wyomingstatewy	Wyoming State Library	Wyoming	US	Lincoln County Library System
wyomingstatewy	Wyoming State Library	Wyoming	US	Natrona County Library System
wyomingstatewy	Wyoming State Library	Wyoming	US	Niobrara County Library
wyomingstatewy	Wyoming State Library	Wyoming	US	Northwest College John Taggart Hinckley Library
wyomingstatewy	Wyoming State Library	Wyoming	US	Park County Library System
wyomingstatewy	Wyoming State Library	Wyoming	US	Platte County Public Library System
wyomingstatewy	Wyoming State Library	Wyoming	US	Sheridan College Mary Brown Kooi Library
wyomingstatewy	Wyoming State Library	Wyoming	US	Sheridan County Library System
wyomingstatewy	Wyoming State Library	Wyoming	US	Sublette County Library System
wyomingstatewy	Wyoming State Library	Wyoming	US	Sweetwater County Library System
wyomingstatewy	Wyoming State Library	Wyoming	US	Teton County Library System
wyomingstatewy	Wyoming State Library	Wyoming	US	Uinta County Library System
wyomingstatewy	Wyoming State Library	Wyoming	US	University of Wyoming Libraries
wyomingstatewy	Wyoming State Library	Wyoming	US	Washakie County Library System
wyomingstatewy	Wyoming State Library	Wyoming	US	Western Wyoming Community College Hay Library
wyomingstatewy	Wyoming State Library	Wyoming	US	Weston County Library System
wyomingstatewy	Wyoming State Library	Wyoming	US	Wyoming State Library
johnstonia	Central Iowa MagNet Zinio Consortium	Iowa	US	Altoona Public Library
johnstonia	Central Iowa MagNet Zinio Consortium	Iowa	US	Bondurant Public Library
johnstonia	Central Iowa MagNet Zinio Consortium	Iowa	US	Carlisle Public Library
johnstonia	Central Iowa MagNet Zinio Consortium	Iowa	US	Grimes Public Library
johnstonia	Central Iowa MagNet Zinio Consortium	Iowa	US	Indianola Public Library
johnstonia	Central Iowa MagNet Zinio Consortium	Iowa	US	Johnston Public Library
johnstonia	Central Iowa MagNet Zinio Consortium	Iowa	US	Kirkendall Public Library
johnstonia	Central Iowa MagNet Zinio Consortium	Iowa	US	Norwalk Public Library
johnstonia	Central Iowa MagNet Zinio Consortium	Iowa	US	Pleasant Hill Public Library
johnstonia	Central Iowa MagNet Zinio Consortium	Iowa	US	Urbandale Public Library
johnstonia	Central Iowa MagNet Zinio Consortium	Iowa	US	Winterset Public Library
buckhammn	Southern Minnesota Digital Consortium	Minnesota	US	Albert Lea Public Library
buckhammn	Southern Minnesota Digital Consortium	Minnesota	US	Buckham Memorial Library
buckhammn	Southern Minnesota Digital Consortium	Minnesota	US	Northfield Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Alberta Beach Municipal library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Alder Flats Buck Lake Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Barrhead Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Bibliotheque de Beaumont Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Blue Ridge Community Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Breton Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Calmar Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Darwell Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Devon Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Drayton Valley Municipal Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Duffield Community Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Edson & District Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Entwistle Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Evansburg & District Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Fort Assiniboine Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Grande Cache Municipal Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Hinton Municipal Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Jarvie Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Jasper Municipal Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Keephills Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Leduc Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	M.Alice Frose Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Mayerthorpe Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Millet Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Neerlandia Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	New Sarepta Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Niton Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Onoway Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Pigeon Lake Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Rich Valley Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Sangudo Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Seba Beach Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Spruce Grove Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Stony Plain Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Swan Hills Municipal Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Thorsby Municipal Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Tomahawk Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Wabamun Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Warburg Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Westlock Municipal Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Wetaskiwin Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Whitecourt Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Wildwood Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Winfield Public Library
Yellowheadab	Yellowhead Regional Library	Alberta	CA	Yellowhead Regional Library
ppldco	Pikes Peak Library District	Colorado	US	Bookmobile
ppldco	Pikes Peak Library District	Colorado	US	Branch
ppldco	Pikes Peak Library District	Colorado	US	Cheyenne Mountain Library
ppldco	Pikes Peak Library District	Colorado	US	East Library
ppldco	Pikes Peak Library District	Colorado	US	Fountain Library
ppldco	Pikes Peak Library District	Colorado	US	High Prairie Library
ppldco	Pikes Peak Library District	Colorado	US	Library 21c
ppldco	Pikes Peak Library District	Colorado	US	Lobby Stop Van
ppldco	Pikes Peak Library District	Colorado	US	Manitou Springs Library
ppldco	Pikes Peak Library District	Colorado	US	Monument Library
ppldco	Pikes Peak Library District	Colorado	US	Old Colorado City Library
ppldco	Pikes Peak Library District	Colorado	US	Palmer Lake Library
ppldco	Pikes Peak Library District	Colorado	US	Penrose Library
ppldco	Pikes Peak Library District	Colorado	US	Rockrimmon Library
ppldco	Pikes Peak Library District	Colorado	US	Ruth Holley Library
ppldco	Pikes Peak Library District	Colorado	US	Sand Creek Library
ppldco	Pikes Peak Library District	Colorado	US	Ute Pass Library
iowacityia	Digital Johnson County	Iowa	US	Coralville Public Library
iowacityia	Digital Johnson County	Iowa	US	Iowa City Public Library
iowacityia	Digital Johnson County	Iowa	US	North Liberty Community Library
princegeorgemd	Prince George's County Memorial Library System	Maryland	US	Accokeek
princegeorgemd	Prince George's County Memorial Library System	Maryland	US	Baden
princegeorgemd	Prince George's County Memorial Library System	Maryland	US	Beltsville
princegeorgemd	Prince George's County Memorial Library System	Maryland	US	Bladensburg
princegeorgemd	Prince George's County Memorial Library System	Maryland	US	Bowie
princegeorgemd	Prince George's County Memorial Library System	Maryland	US	Fairmount Heights
princegeorgemd	Prince George's County Memorial Library System	Maryland	US	Glenarden
princegeorgemd	Prince George's County Memorial Library System	Maryland	US	Greenbelt
princegeorgemd	Prince George's County Memorial Library System	Maryland	US	Hillcrest Heights
princegeorgemd	Prince George's County Memorial Library System	Maryland	US	Hyattsville
princegeorgemd	Prince George's County Memorial Library System	Maryland	US	Largo-Kettering
princegeorgemd	Prince George's County Memorial Library System	Maryland	US	Laurel
princegeorgemd	Prince George's County Memorial Library System	Maryland	US	Mount Rainier
princegeorgemd	Prince George's County Memorial Library System	Maryland	US	New Carrollton
princegeorgemd	Prince George's County Memorial Library System	Maryland	US	Oxon Hill
princegeorgemd	Prince George's County Memorial Library System	Maryland	US	South Bowie
princegeorgemd	Prince George's County Memorial Library System	Maryland	US	Spauldings
princegeorgemd	Prince George's County Memorial Library System	Maryland	US	Surratts-Clinton
princegeorgemd	Prince George's County Memorial Library System	Maryland	US	Upper Marlboro
sccl	Santa Clara County Library	California	US	Bookmobile
sccl	Santa Clara County Library	California	US	Campbell Library
sccl	Santa Clara County Library	California	US	Cupertino Library
sccl	Santa Clara County Library	California	US	Gilroy Library
sccl	Santa Clara County Library	California	US	Los Altos Library
sccl	Santa Clara County Library	California	US	Milpitas Library
sccl	Santa Clara County Library	California	US	Morgan Hill Library
sccl	Santa Clara County Library	California	US	Saratoga Library
sccl	Santa Clara County Library	California	US	Services and Support Center
sccl	Santa Clara County Library	California	US	Woodland Branch Library
superiorlandcoopmi	Superiorland Library Cooperative	Michigan	US	Alpena County Library
superiorlandcoopmi	Superiorland Library Cooperative	Michigan	US	Bay Mills Community College
superiorlandcoopmi	Superiorland Library Cooperative	Michigan	US	Calumet School Public
superiorlandcoopmi	Superiorland Library Cooperative	Michigan	US	DeTour School Public Library
superiorlandcoopmi	Superiorland Library Cooperative	Michigan	US	Dickinson County Library
superiorlandcoopmi	Superiorland Library Cooperative	Michigan	US	Escanaba Public Library
superiorlandcoopmi	Superiorland Library Cooperative	Michigan	US	Gladstone School Public Library
superiorlandcoopmi	Superiorland Library Cooperative	Michigan	US	Hancock School Public Library
superiorlandcoopmi	Superiorland Library Cooperative	Michigan	US	Ironwood Carnegie Library
superiorlandcoopmi	Superiorland Library Cooperative	Michigan	US	Manistique School Public Library
superiorlandcoopmi	Superiorland Library Cooperative	Michigan	US	Munising School Public
superiorlandcoopmi	Superiorland Library Cooperative	Michigan	US	Ojibway Community Library
superiorlandcoopmi	Superiorland Library Cooperative	Michigan	US	Peter White Public Library
superiorlandcoopmi	Superiorland Library Cooperative	Michigan	US	Portage Lake District Library
superiorlandcoopmi	Superiorland Library Cooperative	Michigan	US	Spies Public Library
superiorlandcoopmi	Superiorland Library Cooperative	Michigan	US	Superior District Library
