Title	Barcode	Email	Library	RBID	Checkouts	Time Period	Current Issue Default	Status	Checkout Date	Issue Date
$10 DINNERS (OR LESS!)				RBZ0000001	0	Monthly	500	Active		
net				RBZ0000002	0	Monthly	500	Active		
100 Best Cookies				RBZ0000003	0	Monthly	500	Inactive		
100 Decorating Ideas				RBZ0000004	0	Monthly	500	Inactive		
100 Ideas Makeover Style				RBZ0000005	0	Monthly	500	Inactive		
100 Ideas Real Rooms				RBZ0000006	0	Monthly	500	Inactive		
100 Biker				RBZ0000007	0	Monthly	2500	Active		
Create Jewelry: 101 All-New Designs				RBZ0000008	0	Monthly	2500	Active		
15 a 20				RBZ0000009	0	Monthly	2500	Inactive		
25 Beautiful Homes				RBZ0000011	0	Monthly	2500	Active		
30 Minute Dinners				RBZ0000013	0	Monthly	500	Inactive		
3D World				RBZ0000014	0	Monthly	500	Active		
4 Wheel & Off Road				RBZ0000015	0	Monthly	2500	Active		
400 Calories or Less: Easy Italian				RBZ0000016	0	Monthly	500	Active		
4Ruedas				RBZ0000017	0	Monthly	2500	Active		
50 Great British Locomotives				RBZ0000019	0	Monthly	2500	Active		
52 Bracelets				RBZ0000020	0	Monthly	2500	Active		
5280 Magazine				RBZ0000021	0	Monthly	2500	Active		
7 Jours				RBZ0000022	0	Weekly	2500	Active		
Affaires Plus (A+)				RBZ0000023	0	Monthly	2500	Active		
Aero Australia				RBZ0000029	0	Monthly	2500	Inactive		
Algarabía				RBZ0000035	0	Monthly	2500	Active		
Algarabía Extra				RBZ0000036	0	Monthly	2500	Inactive		
Algarabía Tópicos				RBZ0000037	0	Monthly	2500	Active		
Alternatives Journal				RBZ0000039	0	Monthly	2500	Inactive		
Amateur Photographer				RBZ0000040	0	Weekly	2500	Active		
America’s Best Home Workshops				RBZ0000041	0	Monthly	500	Active		
American Craft				RBZ0000044	0	Monthly	2500	Active		
American Patchwork & Quilting				RBZ0000046	0	Monthly	500	Active		
American Snowmobiler				RBZ0000049	0	Monthly	2500	Active		
Angels on Earth magazine				RBZ0000054	0	Monthly	2500	Active		
TvNotas Especiales				RBZ0000055	0	Monthly	2500	Active		
Anyone Can Cook				RBZ0000056	0	Monthly	500	Inactive		
Aperture				RBZ0000057	0	Monthly	2500	Active		
Appetizers				RBZ0000058	0	Monthly	500	Inactive		
AppleMagazine				RBZ0000059	0	Weekly	2500	Active		
Architecture Australia				RBZ0000062	0	Monthly	2500	Active		
Arizona Highways Magazine				RBZ0000063	0	Monthly	2500	Active		
Artists & Illustrators				RBZ0000066	0	Monthly	2500	Active		
ARTnews				RBZ0000067	0	Monthly	2500	Inactive		
Astronomy				RBZ0000068	0	Monthly	2500	Active		
Audio Technology				RBZ0000073	0	Monthly	2500	Active		
Audubon Magazine				RBZ0000074	0	Monthly	2500	Active		
Australian Country				RBZ0000076	0	Monthly	2500	Active		
Australian FourFourTwo				RBZ0000077	0	Monthly	2500	Inactive		
Taste.com.au				RBZ0000079	0	Monthly	2500	Active		
Australian Handyman				RBZ0000080	0	Monthly	2500	Inactive		
Australian HiFi				RBZ0000081	0	Monthly	2500	Active		
Australian Home Beautiful				RBZ0000082	0	Monthly	2500	Active		
Australian Homespun				RBZ0000083	0	Monthly	2500	Active		
Australian Men's Fitness				RBZ0000084	0	Monthly	2500	Active		
Australian Muscle Car				RBZ0000085	0	Monthly	2500	Active		
Australian New Car Buyer				RBZ0000086	0	Monthly	2500	Active		
Australian NZ Snowboarding				RBZ0000087	0	Monthly	2500	Inactive		
Reader's Digest International				RBZ0000089	0	Monthly	2500	Active		
Australian Road Rider				RBZ0000090	0	Monthly	2500	Active		
Australian Shape				RBZ0000091	0	Monthly	2500	Inactive		
Australian Sky & Telescope				RBZ0000092	0	Monthly	2500	Active		
Australian Trailrider				RBZ0000093	0	Monthly	2500	Inactive		
Australian Wine Showcase				RBZ0000094	0	Monthly	2500	Inactive		
