Title	RBID	Issue Date	Remaining Circs
110 Percent	RBC0387432	05/19/2017	25
24: Underground	RBC0387433	05/19/2017	25
30 Days of Night	RBC0387434	05/19/2017	25
30 Days of Night, Vol. 1: The Beginning of the End	RBC0387437	05/19/2017	25
30 Days of Night: Beyond Barrow	RBC0387435	05/19/2017	25
30 Days of Night: Dark Days	RBC0387438	05/19/2017	25
30 Days of Night: Return to Barrow	RBC0387436	05/19/2017	25
5 Days to Die	RBC0389805	08/08/2017	25
AGE OF ULTRON - Special	RBC0424323	12/31/1969	25
Alan Robert's Killogy	RBC0389780	08/08/2017	25
ALL-NEW CAPTAIN AMERICA VOL. 1: HYDRA ASCENDANT - Special	RBC0424324	12/31/1969	25
ALL-NEW CAPTAIN AMERICA: FEAR HIM - Special	RBC0424325	12/31/1969	25
ALL-NEW GHOST RIDER VOL. 1: ENGINES OF VENGEANCE - Special	RBC0424326	12/31/1969	25
ALL-NEW GHOST RIDER VOL. 2: LEGEND - Special	RBC0424327	12/31/1969	25
ALL-NEW GUARDIANS OF THE GALAXY VOL. 1: COMMUNICATION BREAKDOWN - Special	RBC0424328	12/31/1969	25
ALL-NEW INHUMANS VOL. 1: GLOBAL OUTREACH - Special	RBC0424329	12/31/1969	25
ALL-NEW INHUMANS VOL. 2: SKYSPEARS - Special	RBC0424330	12/31/1969	25
ALL-NEW WOLVERINE VOL. 1: THE FOUR SISTERS - Special	RBC0424331	12/31/1969	25
ALL-NEW WOLVERINE VOL. 2: CIVIL WAR II - Special	RBC0424332	12/31/1969	25
ALL-NEW WOLVERINE VOL. 3: ENEMY OF THE STATE II - Special	RBC0424333	12/31/1969	25
ALL-NEW WOLVERINE VOL. 4: IMMUNE - Special	RBC0424334	12/31/1969	25
ALL-NEW X-MEN VOL. 1: YESTERDAYS X-MEN - Special	RBC0424335	12/31/1969	25
ALL-NEW X-MEN VOL. 2: HERE TO STAY - Special	RBC0424336	12/31/1969	25
ALL-NEW X-MEN VOL. 3: OUT OF THEIR DEPTH - Special	RBC0424337	12/31/1969	25
ALL-NEW X-MEN VOL. 4: ALL-DIFFERENT - Special	RBC0424338	12/31/1969	25
ALL-NEW X-MEN VOL. 5: ONE DOWN - Special	RBC0424339	12/31/1969	25
ALL-NEW X-MEN VOL. 6: THE ULTIMATE ADVENTURE - Special	RBC0424340	12/31/1969	25
ALL-NEW X-MEN VOL. 7: THE UTOPIANS - Special	RBC0424341	12/31/1969	25
ALL-NEW X-MEN: INEVITABLE VOL. 1 - GHOSTS OF CYCLOPS - Special	RBC0424342	12/31/1969	25
ALL-NEW X-MEN: INEVITABLE VOL. 2 - APOCALYPSE WARS - Special	RBC0424343	12/31/1969	25
ALL-NEW X-MEN: INEVITABLE VOL. 3 - HELL HATH SO MUCH FURY - Special	RBC0424344	12/31/1969	25
ALL-NEW X-MEN: INEVITABLE VOL. 4 - IVX - Special	RBC0424345	12/31/1969	25
ALL-NEW, ALL-DIFFERENT AVENGERS VOL. 1: THE MAGNIFICENT SEVEN - Special	RBC0424346	12/31/1969	25
ALL-NEW, ALL-DIFFERENT AVENGERS VOL. 2: FAMILY BUSINESS - Special	RBC0424347	12/31/1969	25
ALL-NEW, ALL-DIFFERENT AVENGERS VOL. 3: CIVIL WAR II - Special	RBC0424348	12/31/1969	25
Amazing Forest	RBC0424259	06/01/2018	25
AMAZING SPIDER-MAN MASTERWORKS VOL. 1 - Special	RBC0424349	12/31/1969	25
AMAZING SPIDER-MAN MASTERWORKS VOL. 2 - Special	RBC0424350	12/31/1969	25
AMAZING SPIDER-MAN MASTERWORKS VOL. 3 - Special	RBC0424351	12/31/1969	25
AMAZING SPIDER-MAN MASTERWORKS VOL. 4 - Special	RBC0424352	12/31/1969	25
AMAZING SPIDER-MAN MASTERWORKS VOL. 5 - Special	RBC0424353	12/31/1969	25
AMAZING SPIDER-MAN VOL. 1: THE PARKER LUCK - Special	RBC0424354	12/31/1969	25
AMAZING SPIDER-MAN VOL. 2: SPIDER-VERSE PRELUDE - Special	RBC0424355	12/31/1969	25
AMAZING SPIDER-MAN VOL. 3: SPIDER-VERSE - Special	RBC0424356	12/31/1969	25
AMAZING SPIDER-MAN VOL. 4: GRAVEYARD SHIFT - Special	RBC0424357	12/31/1969	25
AMAZING SPIDER-MAN: EDGE OF SPIDER-VERSE - Special	RBC0424358	12/31/1969	25
AMAZING SPIDER-MAN: THE CLONE CONSPIRACY - Special	RBC0424359	12/31/1969	25
AMAZING SPIDER-MAN: WORLDWIDE VOL. 1 - Special	RBC0424360	12/31/1969	25
AMAZING SPIDER-MAN: WORLDWIDE VOL. 2 - Special	RBC0424361	12/31/1969	25
AMAZING SPIDER-MAN: WORLDWIDE VOL. 3 - Special	RBC0424362	12/31/1969	25
AMAZING SPIDER-MAN: WORLDWIDE VOL. 4 - Special	RBC0424363	12/31/1969	25
AMAZING SPIDER-MAN: WORLDWIDE VOL. 5 - Special	RBC0424364	12/31/1969	25
AMAZING SPIDER-MAN: WORLDWIDE VOL. 6 - Special	RBC0424365	12/31/1969	25
AMERICA VOL. 1: THE LIFE AND TIMES OF AMERICA CHAVEZ - Special	RBC0424366	12/31/1969	25
American Elf 1999	RBC0423975	05/01/1999	25
American Elf 2000	RBC0423976	05/01/2000	25
American Elf 2001	RBC0423977	05/01/2001	25
American Elf 2002	RBC0423978	05/01/2002	25
American Elf 2003	RBC0423979	05/01/2003	25
American Elf 2004	RBC0423980	05/01/2004	25
American Elf 2005	RBC0423981	05/01/2005	25
American Elf 2006	RBC0423982	05/01/2006	25
American Elf 2007	RBC0423983	05/01/2007	25
American Elf 2008	RBC0423984	05/01/2008	25
American Elf 2009	RBC0423985	05/01/2009	25
American Elf 2010	RBC0423986	05/01/2010	25
American Elf 2011	RBC0423987	05/01/2011	25
American Elf 2012	RBC0423988	05/01/2012	25
Angel: A Hole in the World	RBC0387449	05/19/2017	25
Angel: Auld Lang Syne	RBC0387448	05/19/2017	25
Angel: Barbary Coast	RBC0387450	05/19/2017	25
Angel: Blood and Trenches	RBC0387447	05/19/2017	25
Angel: Immortality For Dummies	RBC0387446	05/19/2017	25
Angel: Lorne	RBC0387445	05/19/2017	25
Angel: Masks	RBC0387444	05/19/2017	25
Angel: Old Friends	RBC0387451	05/19/2017	25
Angel: Only Human	RBC0387452	05/27/2017	25
Angel: Smile Time - Collected Edition	RBC0389781	08/08/2017	25
Angel: Spotlight	RBC0387453	05/27/2017	25
Angel: The Crown Prince Syndrome	RBC0387454	05/27/2017	25
Angel: The Curse	RBC0387455	05/27/2017	25
Angel: The Wolf, The Ram, and The Heart	RBC0387456	05/27/2017	25
Angora Napkin, Vol. 1	RBC0387457	05/27/2017	25
Angora Napkin, Vol. 2: Harvest of Revenge	RBC0387458	05/27/2017	25
ANNIHILATION BOOK ONE - Special	RBC0424367	12/31/1969	25
ANNIHILATION BOOK THREE - Special	RBC0424368	12/31/1969	25
ANNIHILATION BOOK TWO - Special	RBC0424369	12/31/1969	25
ANNIHILATION: CONQUEST BOOK 1 - Special	RBC0424370	12/31/1969	25
ANNIHILATION: CONQUEST BOOK 2 - Special	RBC0424371	12/31/1969	25
ANT-MAN SEASON ONE - Special	RBC0424372	12/31/1969	25
ANT-MAN VOL. 1: SECOND-CHANCE MAN - Special	RBC0424373	12/31/1969	25
Army of Two, Vol. 1: Across The Border	RBC0389796	08/08/2017	49
ASTONISHING X-MEN VOL. 1: GIFTED - Special	RBC0424374	12/31/1969	25
ASTONISHING X-MEN VOL. 2: DANGEROUS - Special	RBC0424375	12/31/1969	25
ASTONISHING X-MEN VOL. 3: TORN - Special	RBC0424376	12/31/1969	25
ASTONISHING X-MEN VOL. 4: UNSTOPPABLE - Special	RBC0424377	12/31/1969	25
ASTONISHING X-MEN VOL. 5: GHOST BOX - Special	RBC0424378	12/31/1969	25
AVENGERS & X-MEN: AXIS - Special	RBC0424379	12/31/1969	25
AVENGERS ASSEMBLE BY BRIAN MICHAEL BENDIS - Special	RBC0424380	12/31/1969	25
AVENGERS BY BRIAN MICHAEL BENDIS VOL. 1 - Special	RBC0424381	12/31/1969	25
AVENGERS BY BRIAN MICHAEL BENDIS VOL. 2 - Special	RBC0424382	12/31/1969	25
AVENGERS BY BRIAN MICHAEL BENDIS VOL. 3 - Special	RBC0424383	12/31/1969	25
AVENGERS BY BRIAN MICHAEL BENDIS VOL. 4 - Special	RBC0424384	12/31/1969	25
AVENGERS BY BRIAN MICHAEL BENDIS VOL. 5 - Special	RBC0424385	12/31/1969	25
AVENGERS MASTERWORKS VOL. 1 - Special	RBC0424386	12/31/1969	25
AVENGERS MASTERWORKS VOL. 2 - Special	RBC0424387	12/31/1969	25
AVENGERS MASTERWORKS VOL. 3 - Special	RBC0424388	12/31/1969	25
AVENGERS MASTERWORKS VOL. 4 - Special	RBC0424389	12/31/1969	25
AVENGERS MASTERWORKS VOL. 5 - Special	RBC0424390	12/31/1969	25
AVENGERS VOL. 1: AVENGERS WORLD - Special	RBC0424391	12/31/1969	25
AVENGERS VOL. 2: THE LAST WHITE EVENT - Special	RBC0424392	12/31/1969	25
AVENGERS VOL. 3: PRELUDE TO INFINITY - Special	RBC0424393	12/31/1969	25
AVENGERS VOL. 4: INFINITY - Special	RBC0424394	12/31/1969	25
AVENGERS VOL. 5: ADAPT OR DIE - Special	RBC0424395	12/31/1969	25
AVENGERS VOL. 6: INFINITE AVENGERS - Special	RBC0424396	12/31/1969	25
AVENGERS VS. THANOS - Special	RBC0424397	12/31/1969	25
AVENGERS VS. X-MEN - Special	RBC0424398	12/31/1969	25
AVENGERS: DISASSEMBLED - Special	RBC0424399	12/31/1969	25
AVENGERS: STANDOFF - Special	RBC0424400	12/31/1969	25
AVENGERS: TIME RUNS OUT VOL. 1 - Special	RBC0424401	12/31/1969	25
AVENGERS: TIME RUNS OUT VOL. 2 - Special	RBC0424402	12/31/1969	25
AVENGERS: TIME RUNS OUT VOL. 3 - Special	RBC0424403	12/31/1969	25
AVENGERS: TIME RUNS OUT VOL. 4 - Special	RBC0424404	12/31/1969	25
AVENGERS: UNLEASHED VOL. 1 - KANG WAR ONE - Special	RBC0424405	12/31/1969	25
AVENGING SPIDER-MAN: MY FRIENDS CAN BEAT UP YOUR FRIENDS - Special	RBC0424406	12/31/1969	25
Back to the Future, Vol. 1: Untold Tales and Alternate Timelines	RBC0406797	11/24/2017	25
Barack Obama: The Comic Book Biography	RBC0387459	05/27/2017	25
Belladonna	RBC0387460	05/27/2017	25
Black Dynamite	RBC0389797	08/08/2017	24
BLACK PANTHER BY CHRISTOPHER PRIEST: THE COMPLETE COLLECTION VOL. 1 - Special	RBC0424407	12/31/1969	25
BLACK PANTHER BY CHRISTOPHER PRIEST: THE COMPLETE COLLECTION VOL. 2 - Special	RBC0424408	12/31/1969	25
BLACK PANTHER BY CHRISTOPHER PRIEST: THE COMPLETE COLLECTION VOL. 3 - Special	RBC0424409	12/31/1969	25
BLACK PANTHER BY CHRISTOPHER PRIEST: THE COMPLETE COLLECTION VOL. 4 - Special	RBC0424410	12/31/1969	25
BLACK PANTHER: A NATION UNDER OUR FEET BOOK 1 - Special	RBC0424411	12/31/1969	25
BLACK PANTHER: A NATION UNDER OUR FEET BOOK 2 - Special	RBC0424412	12/31/1969	25
BLACK PANTHER: A NATION UNDER OUR FEET BOOK 3 - Special	RBC0424413	12/31/1969	25
BLACK PANTHER: WHO IS THE BLACK PANTHER? - Special	RBC0424414	12/31/1969	25
BLACK WIDOW VOL. 1: THE FINELY WOVEN THREAD - Special	RBC0424417	12/31/1969	25
BLACK WIDOW VOL. 2: THE TIGHTLY TANGLED WEB - Special	RBC0424418	12/31/1969	25
Borderlands: Origins	RBC0387461	05/27/2017	25
CABLE/DEADPOOL VOL. 1: IF LOOKS COULD KILL - Special	RBC0424419	12/31/1969	25
CABLE/DEADPOOL VOL. 2: THE BURNT OFFERING - Special	RBC0424420	12/31/1969	25
CABLE/DEADPOOL VOL. 3: THE HUMAN RACE - Special	RBC0424421	12/31/1969	25
CABLE/DEADPOOL VOL. 4: BOSSOM BUDDIES - Special	RBC0424422	12/31/1969	25
CABLE/DEADPOOL VOL. 5: LIVING LEGENDS - Special	RBC0424423	12/31/1969	25
CABLE/DEADPOOL VOL. 6: PAVED WITH GOOD INTENTIONS - Special	RBC0424424	12/31/1969	25
CABLE/DEADPOOL VOL. 7: SEPERATION ANXIETY - Special	RBC0424425	12/31/1969	25
CAPTAIN AMERICA BY ED BRUBAKER VOL. 1 - Special	RBC0424426	12/31/1969	25
CAPTAIN AMERICA BY ED BRUBAKER VOL. 2 - Special	RBC0424427	12/31/1969	25
CAPTAIN AMERICA BY ED BRUBAKER VOL. 3 - Special	RBC0424428	12/31/1969	25
CAPTAIN AMERICA BY ED BRUBAKER VOL. 4 - Special	RBC0424429	12/31/1969	25
CAPTAIN AMERICA VOL. 1: CASTAWAY IN DIMENSION Z BOOK 1 - Special	RBC0424430	12/31/1969	25
CAPTAIN AMERICA VOL. 2: CASTAWAY IN DIMENSION Z BOOK 2 - Special	RBC0424431	12/31/1969	25
CAPTAIN AMERICA VOL. 3: LOOSE NUKE - Special	RBC0424432	12/31/1969	25
CAPTAIN AMERICA VOL. 4: THE IRON NAIL - Special	RBC0424433	12/31/1969	25
CAPTAIN AMERICA VOL. 5: THE TOMORROW SOLDIER - Special	RBC0424434	12/31/1969	25
CAPTAIN AMERICA: REBORN - Special	RBC0424435	12/31/1969	25
CAPTAIN AMERICA: ROAD TO REBORN - Special	RBC0424436	12/31/1969	25
CAPTAIN AMERICA: SAM WILSON VOL. 1 - Special	RBC0424437	12/31/1969	25
CAPTAIN AMERICA: SAM WILSON VOL. 2 - STANDOFF - Special	RBC0424438	12/31/1969	25
CAPTAIN AMERICA: SAM WILSON VOL. 3 - CIVIL WAR II - Special	RBC0424439	12/31/1969	25
CAPTAIN AMERICA: SAM WILSON VOL. 4 - #TAKEBACKTHESHIELD - Special	RBC0424440	12/31/1969	25
CAPTAIN AMERICA: SAM WILSON VOL. 5 - END OF THE LINE - Special	RBC0424441	12/31/1969	25
CAPTAIN AMERICA: STEVE ROGERS VOL. 1 - HAIL HYDRA - Special	RBC0424442	12/31/1969	25
CAPTAIN AMERICA: STEVE ROGERS VOL. 2 - THE TRIAL OF MARIA HILL - Special	RBC0424443	12/31/1969	25
CAPTAIN AMERICA: STEVE ROGERS VOL. 3 - EMPIRE BUILDING - Special	RBC0424444	12/31/1969	25
CAPTAIN AMERICA: THE DEATH OF CAPTAIN AMERICA VOL. 1 - THE DEATH OF THE DREAM - Special	RBC0424445	12/31/1969	25
CAPTAIN AMERICA: THE DEATH OF CAPTAIN AMERICA VOL. 2 - THE BURDEN OF DREAMS - Special	RBC0424446	12/31/1969	25
CAPTAIN AMERICA: THE DEATH OF CAPTAIN AMERICA VOL. 3 - THE MAN WHO BOUGHT AMERICA - Special	RBC0424447	12/31/1969	25
CAPTAIN AMERICA: THE MAN WITH NO FACE - Special	RBC0424448	12/31/1969	25
CAPTAIN AMERICA: TRIAL OF CAPTAIN AMERICA - Special	RBC0424449	12/31/1969	25
CAPTAIN AMERICA: TWO AMERICAS - Special	RBC0424450	12/31/1969	25
CAPTAIN AMERICA: WHITE - Special	RBC0424451	12/31/1969	25
CAPTAIN AMERICA: WINTER SOLDIER VOL. 1 - Special	RBC0424452	12/31/1969	25
CAPTAIN AMERICA: WINTER SOLDIER VOL. 2 - Special	RBC0424453	12/31/1969	25
CAPTAIN MARVEL VOL. 1: HIGHER, FURTHER, FASTER, MORE - Special	RBC0424456	12/31/1969	25
CAPTAIN MARVEL VOL. 1: IN PURSUIT OF FLIGHT - Special	RBC0424459	12/31/1969	25
CAPTAIN MARVEL VOL. 1: RISE OF ALPHA FLIGHT - Special	RBC0424454	12/31/1969	25
CAPTAIN MARVEL VOL. 2: CIVIL WAR II - Special	RBC0424455	12/31/1969	25
CAPTAIN MARVEL VOL. 2: DOWN - Special	RBC0424460	12/31/1969	25
