Libraries that were subscribed to comics on 02/29/2020
Library Nickname	Official Name	State	Country	Child Library Name
test51	8080 Test Library	Alabama	US	fixed format goodness
test51	8080 Test Library	Alabama	US	re
rbdigitaltrial	RBdigital Trial Customer Library	Maryland	US	RBdigital Trial Library
rbdigitaltrial	RBdigital Trial Customer Library	Maryland	US	Try It! Illinois
rbdigitaltrial	RBdigital Trial Customer Library	Maryland	US	WiLS System Trials
britishcouncil	British Council Libraries	India	IN	Afganistan
britishcouncil	British Council Libraries	India	IN	Bangladesh
britishcouncil	British Council Libraries	India	IN	India
britishcouncil	British Council Libraries	India	IN	Myanmar
britishcouncil	British Council Libraries	India	IN	Nepal
britishcouncil	British Council Libraries	India	IN	Pakistan
britishcouncil	British Council Libraries	India	IN	Sri Lanka
britishcouncil	British Council Libraries	India	IN	Zimbabwe
hidalgocountytx	Hidalgo County Library System	Texas	US	Alamo Public Library
hidalgocountytx	Hidalgo County Library System	Texas	US	Donna Public Library
hidalgocountytx	Hidalgo County Library System	Texas	US	Dr. Hector P. Garcia Memorial Library
hidalgocountytx	Hidalgo County Library System	Texas	US	Dustin Michael Sekula Memorial Library
hidalgocountytx	Hidalgo County Library System	Texas	US	Elsa Public Library
