Libraries that were subscribed to magazines on 02/29/2020
Library Nickname	Official Name	State	Country	Child Library Name
test51	8080 Test Library	Alabama	US	fixed format goodness
test51	8080 Test Library	Alabama	US	re
westmichiganmi	Mid-Michigan Library League	Michigan	US	Alden District Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Big Rapids Community Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Darcy Library of Beulah
westmichiganmi	Mid-Michigan Library League	Michigan	US	Glen Lake Community Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Hart Area Public Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Leelanau Township Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Leland Township Public Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Mancelona Township Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Manistee County Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Marion (M. Alice Chapin Memorial) Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Mason County District Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	McBain Community Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Morton Township Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Pentwater Township Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Reed City Area District Library
westmichiganmi	Mid-Michigan Library League	Michigan	US	Richfield Township Public Library
