Library Name	Title	RBID	Zenith Issue Id	Issue Date
8080 Test Library	4 Wheel & Off Road	RBZ0000015	431797	04/01/2019
8080 Test Library	4 Wheel & Off Road	RBZ0000015	431798	05/01/2019
8080 Test Library	4 Wheel & Off Road	RBZ0000015	431799	06/01/2019
8080 Test Library	4 Wheel & Off Road	RBZ0000015	431800	07/01/2019
8080 Test Library	4 Wheel & Off Road	RBZ0000015	431801	08/01/2019
8080 Test Library	4 Wheel & Off Road	RBZ0000015	431802	09/01/2019
8080 Test Library	4 Wheel & Off Road	RBZ0000015	431803	10/01/2019
8080 Test Library	4 Wheel & Off Road	RBZ0000015	431804	11/01/2019
8080 Test Library	4 Wheel & Off Road	RBZ0000015	431805	12/01/2019
8080 Test Library	4 Wheel & Off Road	RBZ0000015	431806	01/01/2020
8080 Test Library	4 Wheel & Off Road	RBZ0000015	431807	02/01/2020
8080 Test Library	4 Wheel & Off Road	RBZ0000015	431808	03/01/2020
8080 Test Library	Amazing Wellness	RBZ0004674	434920	05/01/2019
8080 Test Library	Australian Mountain Bike Travel Special	RBZ0007916	2025	05/01/2015
8080 Test Library	Automobile	RBZ0001299	431854	03/01/2019
8080 Test Library	Automobile	RBZ0001299	431855	05/01/2019
8080 Test Library	Automobile	RBZ0001299	431856	06/01/2019
8080 Test Library	Automobile	RBZ0001299	431857	07/01/2019
8080 Test Library	Automobile	RBZ0001299	431858	08/01/2019
8080 Test Library	Automobile	RBZ0001299	431859	09/01/2019
8080 Test Library	Automobile	RBZ0001299	431860	11/01/2019
8080 Test Library	Automobile	RBZ0001299	431861	12/01/2019
8080 Test Library	Automobile	RBZ0001299	431862	01/01/2020
8080 Test Library	Automobile	RBZ0001299	431863	02/01/2020
8080 Test Library	BBC Top Gear Magazine India	RBZ0004231	456963	07/01/2019
8080 Test Library	Bikes Etc Magazine	RBZ0008456	436052	12/01/2019
8080 Test Library	biz ????	RBZ0010178	453146	01/30/2019
8080 Test Library	biz ????	RBZ0010178	455096	02/27/2019
8080 Test Library	biz ????	RBZ0010178	456889	03/28/2019
8080 Test Library	biz ????	RBZ0010178	458309	04/30/2019
8080 Test Library	biz ????	RBZ0010178	460084	05/28/2019
8080 Test Library	biz ????	RBZ0010178	460697	07/01/2019
8080 Test Library	biz ????	RBZ0010178	461252	08/02/2019
8080 Test Library	biz ????	RBZ0010178	461906	09/02/2019
8080 Test Library	biz ????	RBZ0010178	462281	10/01/2019
8080 Test Library	biz ????	RBZ0010178	464658	10/30/2019
8080 Test Library	biz ????	RBZ0010178	474723	12/02/2019
8080 Test Library	Car Craft	RBZ0001323	431765	04/01/2019
8080 Test Library	Car Craft	RBZ0001323	431766	05/01/2019
8080 Test Library	Car Craft	RBZ0001323	431767	06/01/2019
8080 Test Library	Car Craft	RBZ0001323	431768	07/01/2019
