Library Name	Title	RBID	Zenith Issue Id	Issue Date
8080 Test Library	0024 WatchWorld Scandinavia	RBZ0002875	29755	12/01/2016
8080 Test Library	01net HS	RBZ0002120	371152	11/01/2017
8080 Test Library	01net HS	RBZ0002120	415338	02/01/2018
8080 Test Library	100 Best Cookies	RBZ0000003	343897	10/01/2013
8080 Test Library	100 Decorating Ideas	RBZ0000004	208515	12/01/2012
8080 Test Library	100 Ideas Makeover Style	RBZ0000005	154634	07/01/2011
8080 Test Library	100 Ideas Real Rooms	RBZ0000006	191099	06/25/2012
8080 Test Library	101 BUNTE Rezepte von Eckart Witzigmann	RBZ0008675	346505	12/01/2015
8080 Test Library	101 Family Home Ideas	RBZ0005878	217058	03/01/2013
8080 Test Library	15 a 20	RBZ0000009	376696	08/01/2017
8080 Test Library	25 Millions de Proprietaires	RBZ0009604	360177	12/01/2017
8080 Test Library	25 Millions de Proprietaires	RBZ0009604	412519	01/01/2018
8080 Test Library	25 Millions de Proprietaires	RBZ0009604	419498	02/01/2018
8080 Test Library	2rivers 双河彎	RBZ0005916	295769	08/01/2015
8080 Test Library	30 Millions d'Amis	RBZ0009605	370785	12/01/2017
8080 Test Library	30 Millions d'Amis	RBZ0009605	370786	01/01/2018
8080 Test Library	30 Millions d'Amis	RBZ0009605	411535	02/01/2018
8080 Test Library	30 Millions d'Amis	RBZ0009605	411536	03/01/2018
8080 Test Library	30 Millions d'Amis	RBZ0009605	411537	04/01/2018
8080 Test Library	30 Millions d'Amis	RBZ0009605	411538	05/01/2018
8080 Test Library	30 Millions d'Amis	RBZ0009605	411539	05/31/2018
8080 Test Library	30 Minute Dinners	RBZ0000013	270531	10/01/2015
8080 Test Library	500 Calorie	RBZ0009240	381981	11/01/2017
8080 Test Library	500 Calorie	RBZ0009240	407730	01/01/2018
8080 Test Library	60 Millions de Consommateurs	RBZ0009606	354841	12/01/2017
8080 Test Library	60 Millions de Consommateurs	RBZ0009606	354842	01/01/2018
8080 Test Library	60 Millions de Consommateurs	RBZ0009606	409950	02/01/2018
8080 Test Library	60 millions de consommateurs Hors Série Découverte	RBZ0009607	371608	12/01/2017
8080 Test Library	60 millions de consommateurs Hors Série Expert	RBZ0009608	385336	08/01/2017
8080 Test Library	6TOROS6	RBZ0007735	357624	02/07/2017
8080 Test Library	750g	RBZ0006132	283758	04/01/2015
8080 Test Library	750g	RBZ0006132	291328	07/01/2015
8080 Test Library	750g	RBZ0006132	3666	10/01/2015
8080 Test Library	750g	RBZ0006132	307317	01/01/2016
8080 Test Library	750g	RBZ0006132	14779	04/01/2016
8080 Test Library	750g	RBZ0006132	14780	07/01/2016
8080 Test Library	750g	RBZ0006132	14781	10/01/2016
8080 Test Library	750g	RBZ0006132	14782	01/01/2017
8080 Test Library	750g	RBZ0006132	380554	10/01/2017
8080 Test Library	8 Lug	RBZ0001582	364039	01/01/2018
8080 Test Library	A Weekend with Ellen Adarna	RBZ0005674	892	01/01/2013
8080 Test Library	A/R Magazine Voyageur	RBZ0009609	381263	07/01/2017
8080 Test Library	A/R Magazine Voyageur	RBZ0009609	381264	10/01/2017
8080 Test Library	A/R Magazine Voyageur	RBZ0009609	381265	12/01/2017
8080 Test Library	Acclaim	RBZ0003263	32650	08/01/2014
8080 Test Library	Accordéon et accordéonistes	RBZ0008649	385703	06/01/2017
8080 Test Library	Acteurs de l'économie - La Tribune	RBZ0009610	376078	11/01/2017
8080 Test Library	Actualidad Economica	RBZ0001095	353948	12/01/2017
8080 Test Library	Actualidad Economica	RBZ0001095	405595	01/01/2018
8080 Test Library	Actualidad Economica	RBZ0001095	413577	02/01/2018
8080 Test Library	Actualidad Economica	RBZ0001095	420353	03/05/2018
8080 Test Library	Actualidad Economica	RBZ0001095	353949	03/12/2018
8080 Test Library	Actualidad Economica	RBZ0001095	421843	03/19/2018
8080 Test Library	Actualidad Economica	RBZ0001095	422149	03/26/2018
8080 Test Library	Actualidad Economica	RBZ0001095	423147	04/02/2018
8080 Test Library	Actualidad Economica	RBZ0001095	423148	04/09/2018
8080 Test Library	Actualité Juive	RBZ0009611	358052	12/07/2017
8080 Test Library	Actualité Juive	RBZ0009611	358053	12/14/2017
8080 Test Library	Actualité Juive	RBZ0009611	358054	12/21/2017
8080 Test Library	Actualité Juive	RBZ0009611	358055	12/28/2017
8080 Test Library	Actualité Juive	RBZ0009611	408394	01/04/2018
8080 Test Library	Actualité Juive	RBZ0009611	408395	01/10/2018
8080 Test Library	Actualité Juive	RBZ0009611	408396	01/18/2018
8080 Test Library	Actualité Juive	RBZ0009611	408397	01/25/2018
8080 Test Library	Actualité Juive	RBZ0009611	408398	02/01/2018
8080 Test Library	Actualité Juive	RBZ0009611	408399	02/08/2018
8080 Test Library	Actualité Juive	RBZ0009611	408400	02/15/2018
8080 Test Library	Actualité Juive	RBZ0009611	408401	02/22/2018
8080 Test Library	Aero Australia	RBZ0000029	379803	07/01/2017
8080 Test Library	Affix Magazine	RBZ0008234	32938	09/01/2015
8080 Test Library	Afrique Magazine HS	RBZ0009613	399344	12/01/2017
8080 Test Library	Afrique Mediterranée Business	RBZ0009614	377320	12/01/2017
8080 Test Library	Air & Cosmos	RBZ0009615	358795	11/15/2017
8080 Test Library	Air & Cosmos	RBZ0009615	358794	12/08/2017
8080 Test Library	Air & Cosmos	RBZ0009615	358796	12/22/2017
8080 Test Library	Air & Cosmos	RBZ0009615	358797	01/05/2018
8080 Test Library	Air & Cosmos	RBZ0009615	358798	01/12/2018
8080 Test Library	Air & Cosmos	RBZ0009615	412113	01/19/2018
8080 Test Library	Air & Cosmos	RBZ0009615	412114	01/26/2018
8080 Test Library	Air & Cosmos	RBZ0009615	412115	02/02/2018
