Library Name	Title	RBID	Issue Date	Remaining Circs	Active Issues
8080 Test Library	$10 DINNERS (OR LESS!)	RBZ0000001	02/01/2012	499	1
8080 Test Library	(inside) interior design review	RBZ0002688	10/31/2018	2500	6
8080 Test Library	.net CSS Design Essentials	RBZ0003796			0
8080 Test Library	0024 Horloges	RBZ0002360	11/30/2018	2500	2
8080 Test Library	0024 WatchWorld Scandinavia	RBZ0002875	12/01/2016	2500	1
8080 Test Library	01net	RBZ0001638	10/29/2019	5	47
8080 Test Library	01net HS	RBZ0002120	02/01/2018	200	2
8080 Test Library	10 Minute Pilates	RBZ0007447	05/01/2014	2500	1
8080 Test Library	10 Minute Yoga Calm	RBZ0008908	07/01/2016	2500	1
8080 Test Library	10 Week Fat Burn: Lose a Stone	RBZ0008156	08/01/2015	2500	1
8080 Test Library	100 All-Time Greatest Comics	RBZ0007658	06/01/2016	1000	1
8080 Test Library	100 Best Cookies	RBZ0000003	10/01/2013	499	1
8080 Test Library	The 100 Best Games to Play Right Now	RBZ0008983	09/01/2016	2500	1
8080 Test Library	100 Biker	RBZ0000007	12/05/2018	Unlimited	15
8080 Test Library	100 Decorating Ideas	RBZ0000004	12/01/2012	500	1
8080 Test Library	100 Great Guitars	RBZ0007773	01/01/2015	500	1
8080 Test Library	100 Greatest Comedy Movies by Radio Times	RBZ0007810	01/01/2015	2498	1
8080 Test Library	The 100 Greatest Graphic Novels Of All Time	RBZ0008815	07/01/2016	2500	1
8080 Test Library	100 greatest moments from 100 years of the Tour De France	RBZ0006004	03/01/2013	2500	1
8080 Test Library	100 Greatest Sci-Fi Characters	RBZ0008071	06/01/2015	2500	1
8080 Test Library	The 100 Greatest Sci-Fi Characters Of All Time	RBZ0009242	03/01/2017	500	1
8080 Test Library	100 Greatest Thriller Movies by Radio Times	RBZ0007811	01/01/2015	2499	1
8080 Test Library	The 100 Greatest TV Shows of All Time	RBZ0008020	05/01/2015	500	1
8080 Test Library	100 Ideas Makeover Style	RBZ0000005	07/01/2011	500	1
8080 Test Library	100 Ideas Real Rooms	RBZ0000006	06/25/2012	500	1
8080 Test Library	100 Recipes to Beat Diabetes	RBZ0009895			0
8080 Test Library	101 BUNTE Rezepte von Eckart Witzigmann	RBZ0008675	12/01/2015	2500	1
8080 Test Library	101 Family Home Ideas	RBZ0005878	03/01/2013	500	1
8080 Test Library	101 Home Sewing Ideas	RBZ0008834	06/01/2016	2500	1
8080 Test Library	101 Quick & Easy Crochet Makes	RBZ0007626	06/01/2016	2500	1
8080 Test Library	11 Freunde	RBZ0009106	08/31/2019	2498	22
8080 Test Library	1116 Design Tips	RBZ0007608	09/01/2014	500	1
8080 Test Library	15 a 20	RBZ0000009	08/01/2017	2500	1
8080 Test Library	15 Minute Fitness: Busy Girls Guide	RBZ0008914	07/01/2016	2500	1
8080 Test Library	150 Thrifty Knits	RBZ0007697	05/01/2016	2500	1
8080 Test Library	200 Scrapbooking Ideas	RBZ0009276	03/01/2017	500	1
8080 Test Library	The 2011 Android App Guide	RBZ0003476	06/01/2011	500	1
8080 Test Library	The 2012 iPad Handbook	RBZ0006991	01/01/2012	500	1
8080 Test Library	The 2014 Tour de France in Britain	RBZ0007312	04/01/2014	500	1
8080 Test Library	220 Triathlon	RBZ0006019	12/31/2018	2500	14
8080 Test Library	220 Triathlon presents the Beginner's Guide to Triathlon	RBZ0008333	10/01/2014	2500	1
8080 Test Library	25 Beautiful Homes	RBZ0000011	08/31/2019	2499	21
8080 Test Library	25 Millions de Proprietaires	RBZ0009604	02/01/2018	2500	3
8080 Test Library	25 Years of the Hubble Space Telescope - from BBC Sky at Night Magazine	RBZ0007978	04/01/2015	2500	1
8080 Test Library	273 Papercraft & Card Ideas	RBZ0008728	06/01/2016	2500	1
8080 Test Library	2nd セカンド	RBZ0006985	11/20/2018	Unlimited	13
8080 Test Library	2rivers 双河彎	RBZ0005916	08/01/2015	2500	1
8080 Test Library	30 Millions d'Amis	RBZ0009605	05/31/2018	Unlimited	7
