Title	Barcode	Email	Library	RBID	Checkouts	Time Period	Current Issue Default	Status
Army of Two, Vol. 1: Across The Border				RBC0389796	0	Monthly	25	Active
Black Dynamite				RBC0389797	0	Monthly	25	Active
Crysis				RBC0389798	0	Monthly	25	Active
Angel: Masks				RBC0387444	0	Monthly	25	Active
Angel: Only Human				RBC0387452	0	Monthly	25	Active
Night Mary				RBC0387519	0	Monthly	25	Active
Danger Girl: Revolver				RBC0387468	0	Monthly	25	Active
Gate-way, Vol. 1: A New World				RBC0389801	0	Monthly	25	Active
James Patterson's The Murder of King Tut				RBC0389802	0	Monthly	25	Active
James Patterson's Witch & Wizard, Vol. 1: Battle for Shadowland				RBC0389803	0	Monthly	25	Active
Jurassic Park: Dangerous Games				RBC0389842	0	Monthly	25	Active
Magic the Gathering, Vol. 3: Path of Vengeance				RBC0389876	0	Monthly	25	Active
Minisulk				RBC0389843	0	Monthly	25	Active
Rot & Ruin: Warrior Smart				RBC0389844	0	Monthly	25	Active
Silent Hill: Dead/Alive				RBC0389685	0	Monthly	25	Active
Silent Hill: Downpour - Anne's Story				RBC0389873	0	Monthly	25	Active
Silent Hill: Sinner's Reward				RBC0389774	0	Monthly	25	Active
The High Ways				RBC0389775	0	Monthly	25	Active
Transformers: Nefarious				RBC0389776	0	Monthly	25	Active
Transformers: Revenge of the Fallen Movie Adaptation				RBC0389874	0	Monthly	25	Active
True Blood Vol. 3: The French Quarter				RBC0389778	0	Monthly	25	Active
Transformers Movie Sequel: The Reign of Starscream				RBC0389777	0	Monthly	25	Active
30 Days of Night: Beyond Barrow				RBC0387435	0	Monthly	25	Active
110 Percent				RBC0387432	0	Monthly	25	Active
24: Underground				RBC0387433	0	Monthly	25	Active
30 Days of Night				RBC0387434	0	Monthly	25	Active
Angel: Immortality For Dummies				RBC0387446	0	Monthly	25	Active
Angel: The Wolf, The Ram, and The Heart				RBC0387456	0	Monthly	25	Active
Angel: The Crown Prince Syndrome				RBC0387454	0	Monthly	25	Active
Angora Napkin, Vol. 2: Harvest of Revenge				RBC0387458	0	Monthly	25	Active
Angora Napkin, Vol. 1				RBC0387457	0	Monthly	25	Active
Barack Obama: The Comic Book Biography				RBC0387459	0	Monthly	25	Active
Belladonna				RBC0387460	0	Monthly	25	Active
Borderlands: Origins				RBC0387461	0	Monthly	25	Active
Children of the Grave				RBC0387462	0	Monthly	25	Active
Cold War, Vol 1: The Damocles Contract				RBC0387463	0	Monthly	25	Active
CSI: Bad Rap				RBC0387465	0	Monthly	25	Active
Danger Girl Deluxe				RBC0387467	0	Monthly	25	Active
Dead Rising: Road to Fortune				RBC0387470	0	Monthly	25	Active
Comic Book History of Comics				RBC0387464	0	Monthly	25	Active
Death By Chocolate: Redux				RBC0387471	0	Monthly	25	Active
Drive				RBC0387472	0	Monthly	25	Active
Dungeons & Dragons Forgotten Realms Classics Vol. 4				RBC0387476	0	Monthly	25	Active
Dungeons & Dragons Forgotten Realms Classics Vol. 3				RBC0387475	0	Monthly	25	Active
Dungeons & Dragons Forgotten Realms Classics Vol. 2				RBC0387474	0	Monthly	25	Active
