Library Name	Title	RBID	Issue Date	Remaining Circs
8080 Test Library	110 Percent	RBC0387432		
8080 Test Library	24: Underground	RBC0387433		
8080 Test Library	30 Days of Night	RBC0387434		
8080 Test Library	30 Days of Night, Vol. 1: The Beginning of the End	RBC0387437		
8080 Test Library	30 Days of Night: Beyond Barrow	RBC0387435		
8080 Test Library	30 Days of Night: Dark Days	RBC0387438		
8080 Test Library	30 Days of Night: Return to Barrow	RBC0387436		
8080 Test Library	5 Days to Die	RBC0389805		
8080 Test Library	AGE OF ULTRON - Special	RBC0424323		
8080 Test Library	Alan Robert's Killogy	RBC0389780		
8080 Test Library	ALL-NEW CAPTAIN AMERICA VOL. 1: HYDRA ASCENDANT - Special	RBC0424324		
8080 Test Library	ALL-NEW CAPTAIN AMERICA: FEAR HIM - Special	RBC0424325		
8080 Test Library	ALL-NEW GHOST RIDER VOL. 1: ENGINES OF VENGEANCE - Special	RBC0424326		
8080 Test Library	ALL-NEW GHOST RIDER VOL. 2: LEGEND - Special	RBC0424327		
8080 Test Library	ALL-NEW GUARDIANS OF THE GALAXY VOL. 1: COMMUNICATION BREAKDOWN - Special	RBC0424328		
8080 Test Library	ALL-NEW INHUMANS VOL. 1: GLOBAL OUTREACH - Special	RBC0424329		
8080 Test Library	ALL-NEW INHUMANS VOL. 2: SKYSPEARS - Special	RBC0424330		
8080 Test Library	ALL-NEW WOLVERINE VOL. 1: THE FOUR SISTERS - Special	RBC0424331		
8080 Test Library	ALL-NEW WOLVERINE VOL. 2: CIVIL WAR II - Special	RBC0424332		
8080 Test Library	ALL-NEW WOLVERINE VOL. 3: ENEMY OF THE STATE II - Special	RBC0424333		
8080 Test Library	ALL-NEW WOLVERINE VOL. 4: IMMUNE - Special	RBC0424334		
8080 Test Library	ALL-NEW X-MEN VOL. 1: YESTERDAYS X-MEN - Special	RBC0424335		
8080 Test Library	ALL-NEW X-MEN VOL. 2: HERE TO STAY - Special	RBC0424336		
8080 Test Library	ALL-NEW X-MEN VOL. 3: OUT OF THEIR DEPTH - Special	RBC0424337		
8080 Test Library	ALL-NEW X-MEN VOL. 4: ALL-DIFFERENT - Special	RBC0424338		
8080 Test Library	ALL-NEW X-MEN VOL. 5: ONE DOWN - Special	RBC0424339		
8080 Test Library	ALL-NEW X-MEN VOL. 6: THE ULTIMATE ADVENTURE - Special	RBC0424340		
8080 Test Library	ALL-NEW X-MEN VOL. 7: THE UTOPIANS - Special	RBC0424341		
8080 Test Library	ALL-NEW X-MEN: INEVITABLE VOL. 1 - GHOSTS OF CYCLOPS - Special	RBC0424342		
8080 Test Library	ALL-NEW X-MEN: INEVITABLE VOL. 2 - APOCALYPSE WARS - Special	RBC0424343		
8080 Test Library	ALL-NEW X-MEN: INEVITABLE VOL. 3 - HELL HATH SO MUCH FURY - Special	RBC0424344		
8080 Test Library	ALL-NEW X-MEN: INEVITABLE VOL. 4 - IVX - Special	RBC0424345		
8080 Test Library	ALL-NEW, ALL-DIFFERENT AVENGERS VOL. 1: THE MAGNIFICENT SEVEN - Special	RBC0424346		
8080 Test Library	ALL-NEW, ALL-DIFFERENT AVENGERS VOL. 2: FAMILY BUSINESS - Special	RBC0424347		
8080 Test Library	ALL-NEW, ALL-DIFFERENT AVENGERS VOL. 3: CIVIL WAR II - Special	RBC0424348		
8080 Test Library	Amazing Forest	RBC0424259		
8080 Test Library	AMAZING SPIDER-MAN MASTERWORKS VOL. 1 - Special	RBC0424349		
8080 Test Library	AMAZING SPIDER-MAN MASTERWORKS VOL. 2 - Special	RBC0424350		
8080 Test Library	AMAZING SPIDER-MAN MASTERWORKS VOL. 3 - Special	RBC0424351		
8080 Test Library	AMAZING SPIDER-MAN MASTERWORKS VOL. 4 - Special	RBC0424352		
8080 Test Library	AMAZING SPIDER-MAN MASTERWORKS VOL. 5 - Special	RBC0424353		
8080 Test Library	AMAZING SPIDER-MAN VOL. 1: THE PARKER LUCK - Special	RBC0424354		
8080 Test Library	AMAZING SPIDER-MAN VOL. 2: SPIDER-VERSE PRELUDE - Special	RBC0424355		
8080 Test Library	AMAZING SPIDER-MAN VOL. 3: SPIDER-VERSE - Special	RBC0424356		
8080 Test Library	AMAZING SPIDER-MAN VOL. 4: GRAVEYARD SHIFT - Special	RBC0424357		
8080 Test Library	AMAZING SPIDER-MAN: EDGE OF SPIDER-VERSE - Special	RBC0424358		
8080 Test Library	AMAZING SPIDER-MAN: THE CLONE CONSPIRACY - Special	RBC0424359		
8080 Test Library	AMAZING SPIDER-MAN: WORLDWIDE VOL. 1 - Special	RBC0424360		
8080 Test Library	AMAZING SPIDER-MAN: WORLDWIDE VOL. 2 - Special	RBC0424361		
8080 Test Library	AMAZING SPIDER-MAN: WORLDWIDE VOL. 3 - Special	RBC0424362		
8080 Test Library	AMAZING SPIDER-MAN: WORLDWIDE VOL. 4 - Special	RBC0424363		
8080 Test Library	AMAZING SPIDER-MAN: WORLDWIDE VOL. 5 - Special	RBC0424364		
8080 Test Library	AMAZING SPIDER-MAN: WORLDWIDE VOL. 6 - Special	RBC0424365		
8080 Test Library	AMERICA VOL. 1: THE LIFE AND TIMES OF AMERICA CHAVEZ - Special	RBC0424366		
8080 Test Library	American Elf 1999	RBC0423975		
8080 Test Library	American Elf 2000	RBC0423976		
8080 Test Library	American Elf 2001	RBC0423977		
8080 Test Library	American Elf 2002	RBC0423978		
8080 Test Library	American Elf 2003	RBC0423979		
8080 Test Library	American Elf 2004	RBC0423980		
8080 Test Library	American Elf 2005	RBC0423981		
8080 Test Library	American Elf 2006	RBC0423982		
8080 Test Library	American Elf 2007	RBC0423983		
8080 Test Library	American Elf 2008	RBC0423984		
8080 Test Library	American Elf 2009	RBC0423985		
8080 Test Library	American Elf 2010	RBC0423986		
8080 Test Library	American Elf 2011	RBC0423987		
8080 Test Library	American Elf 2012	RBC0423988		
8080 Test Library	Angel: A Hole in the World	RBC0387449		
8080 Test Library	Angel: Auld Lang Syne	RBC0387448		
8080 Test Library	Angel: Barbary Coast	RBC0387450		
8080 Test Library	Angel: Blood and Trenches	RBC0387447		
8080 Test Library	Angel: Immortality For Dummies	RBC0387446		
8080 Test Library	Angel: Lorne	RBC0387445		
8080 Test Library	Angel: Masks	RBC0387444	05/19/2017	25
8080 Test Library	Angel: Old Friends	RBC0387451		
8080 Test Library	Angel: Only Human	RBC0387452		
8080 Test Library	Angel: Smile Time - Collected Edition	RBC0389781		
8080 Test Library	Angel: Spotlight	RBC0387453		
8080 Test Library	Angel: The Crown Prince Syndrome	RBC0387454	05/27/2017	25
8080 Test Library	Angel: The Curse	RBC0387455		
8080 Test Library	Angel: The Wolf, The Ram, and The Heart	RBC0387456		
8080 Test Library	Angora Napkin, Vol. 1	RBC0387457		
8080 Test Library	Angora Napkin, Vol. 2: Harvest of Revenge	RBC0387458		
8080 Test Library	ANNIHILATION BOOK ONE - Special	RBC0424367		
8080 Test Library	ANNIHILATION BOOK THREE - Special	RBC0424368		
8080 Test Library	ANNIHILATION BOOK TWO - Special	RBC0424369		
8080 Test Library	ANNIHILATION: CONQUEST BOOK 1 - Special	RBC0424370		
8080 Test Library	ANNIHILATION: CONQUEST BOOK 2 - Special	RBC0424371		
8080 Test Library	ANT-MAN SEASON ONE - Special	RBC0424372		
8080 Test Library	ANT-MAN VOL. 1: SECOND-CHANCE MAN - Special	RBC0424373		
8080 Test Library	Army of Two, Vol. 1: Across The Border	RBC0389796	08/09/2017	18
8080 Test Library	ASTONISHING X-MEN VOL. 1: GIFTED - Special	RBC0424374		
8080 Test Library	ASTONISHING X-MEN VOL. 2: DANGEROUS - Special	RBC0424375		
8080 Test Library	ASTONISHING X-MEN VOL. 3: TORN - Special	RBC0424376		
8080 Test Library	ASTONISHING X-MEN VOL. 4: UNSTOPPABLE - Special	RBC0424377		
8080 Test Library	ASTONISHING X-MEN VOL. 5: GHOST BOX - Special	RBC0424378		
8080 Test Library	AVENGERS & X-MEN: AXIS - Special	RBC0424379		
8080 Test Library	AVENGERS ASSEMBLE BY BRIAN MICHAEL BENDIS - Special	RBC0424380		
8080 Test Library	AVENGERS BY BRIAN MICHAEL BENDIS VOL. 1 - Special	RBC0424381		
8080 Test Library	AVENGERS BY BRIAN MICHAEL BENDIS VOL. 2 - Special	RBC0424382		
8080 Test Library	AVENGERS BY BRIAN MICHAEL BENDIS VOL. 3 - Special	RBC0424383		
8080 Test Library	AVENGERS BY BRIAN MICHAEL BENDIS VOL. 4 - Special	RBC0424384		
8080 Test Library	AVENGERS BY BRIAN MICHAEL BENDIS VOL. 5 - Special	RBC0424385		
8080 Test Library	AVENGERS MASTERWORKS VOL. 1 - Special	RBC0424386		
8080 Test Library	AVENGERS MASTERWORKS VOL. 2 - Special	RBC0424387		
8080 Test Library	AVENGERS MASTERWORKS VOL. 3 - Special	RBC0424388		
8080 Test Library	AVENGERS MASTERWORKS VOL. 4 - Special	RBC0424389		
8080 Test Library	AVENGERS MASTERWORKS VOL. 5 - Special	RBC0424390		
8080 Test Library	AVENGERS VOL. 1: AVENGERS WORLD - Special	RBC0424391		
8080 Test Library	AVENGERS VOL. 2: THE LAST WHITE EVENT - Special	RBC0424392		
8080 Test Library	AVENGERS VOL. 3: PRELUDE TO INFINITY - Special	RBC0424393		
8080 Test Library	AVENGERS VOL. 4: INFINITY - Special	RBC0424394		
8080 Test Library	AVENGERS VOL. 5: ADAPT OR DIE - Special	RBC0424395		
8080 Test Library	AVENGERS VOL. 6: INFINITE AVENGERS - Special	RBC0424396		
8080 Test Library	AVENGERS VS. THANOS - Special	RBC0424397		
8080 Test Library	AVENGERS VS. X-MEN - Special	RBC0424398		
8080 Test Library	AVENGERS: DISASSEMBLED - Special	RBC0424399		
8080 Test Library	AVENGERS: STANDOFF - Special	RBC0424400		
8080 Test Library	AVENGERS: TIME RUNS OUT VOL. 1 - Special	RBC0424401		
8080 Test Library	AVENGERS: TIME RUNS OUT VOL. 2 - Special	RBC0424402		
8080 Test Library	AVENGERS: TIME RUNS OUT VOL. 3 - Special	RBC0424403		
8080 Test Library	AVENGERS: TIME RUNS OUT VOL. 4 - Special	RBC0424404		
8080 Test Library	AVENGERS: UNLEASHED VOL. 1 - KANG WAR ONE - Special	RBC0424405		
8080 Test Library	AVENGING SPIDER-MAN: MY FRIENDS CAN BEAT UP YOUR FRIENDS - Special	RBC0424406		
8080 Test Library	Back to the Future, Vol. 1: Untold Tales and Alternate Timelines	RBC0406797		
8080 Test Library	Barack Obama: The Comic Book Biography	RBC0387459		
8080 Test Library	Belladonna	RBC0387460		
8080 Test Library	Black Dynamite	RBC0389797	08/09/2017	23
8080 Test Library	BLACK PANTHER BY CHRISTOPHER PRIEST: THE COMPLETE COLLECTION VOL. 1 - Special	RBC0424407		
8080 Test Library	BLACK PANTHER BY CHRISTOPHER PRIEST: THE COMPLETE COLLECTION VOL. 2 - Special	RBC0424408		
8080 Test Library	BLACK PANTHER BY CHRISTOPHER PRIEST: THE COMPLETE COLLECTION VOL. 3 - Special	RBC0424409		
8080 Test Library	BLACK PANTHER BY CHRISTOPHER PRIEST: THE COMPLETE COLLECTION VOL. 4 - Special	RBC0424410		
8080 Test Library	BLACK PANTHER: A NATION UNDER OUR FEET BOOK 1 - Special	RBC0424411		
8080 Test Library	BLACK PANTHER: A NATION UNDER OUR FEET BOOK 2 - Special	RBC0424412		
8080 Test Library	BLACK PANTHER: A NATION UNDER OUR FEET BOOK 3 - Special	RBC0424413		
8080 Test Library	BLACK PANTHER: WHO IS THE BLACK PANTHER? - Special	RBC0424414		
8080 Test Library	BLACK WIDOW VOL. 1: THE FINELY WOVEN THREAD - Special	RBC0424417		
8080 Test Library	BLACK WIDOW VOL. 2: THE TIGHTLY TANGLED WEB - Special	RBC0424418		
8080 Test Library	Borderlands: Origins	RBC0387461		
8080 Test Library	CABLE/DEADPOOL VOL. 1: IF LOOKS COULD KILL - Special	RBC0424419		
8080 Test Library	CABLE/DEADPOOL VOL. 2: THE BURNT OFFERING - Special	RBC0424420		
8080 Test Library	CABLE/DEADPOOL VOL. 3: THE HUMAN RACE - Special	RBC0424421		
8080 Test Library	CABLE/DEADPOOL VOL. 4: BOSSOM BUDDIES - Special	RBC0424422		
8080 Test Library	CABLE/DEADPOOL VOL. 5: LIVING LEGENDS - Special	RBC0424423		
8080 Test Library	CABLE/DEADPOOL VOL. 6: PAVED WITH GOOD INTENTIONS - Special	RBC0424424		
8080 Test Library	CABLE/DEADPOOL VOL. 7: SEPERATION ANXIETY - Special	RBC0424425		
8080 Test Library	CAPTAIN AMERICA BY ED BRUBAKER VOL. 1 - Special	RBC0424426		
8080 Test Library	CAPTAIN AMERICA BY ED BRUBAKER VOL. 2 - Special	RBC0424427		
8080 Test Library	CAPTAIN AMERICA BY ED BRUBAKER VOL. 3 - Special	RBC0424428		
8080 Test Library	CAPTAIN AMERICA BY ED BRUBAKER VOL. 4 - Special	RBC0424429		
8080 Test Library	CAPTAIN AMERICA VOL. 1: CASTAWAY IN DIMENSION Z BOOK 1 - Special	RBC0424430		
8080 Test Library	CAPTAIN AMERICA VOL. 2: CASTAWAY IN DIMENSION Z BOOK 2 - Special	RBC0424431		
8080 Test Library	CAPTAIN AMERICA VOL. 3: LOOSE NUKE - Special	RBC0424432		
8080 Test Library	CAPTAIN AMERICA VOL. 4: THE IRON NAIL - Special	RBC0424433		
8080 Test Library	CAPTAIN AMERICA VOL. 5: THE TOMORROW SOLDIER - Special	RBC0424434		
8080 Test Library	CAPTAIN AMERICA: REBORN - Special	RBC0424435		
8080 Test Library	CAPTAIN AMERICA: ROAD TO REBORN - Special	RBC0424436		
8080 Test Library	CAPTAIN AMERICA: SAM WILSON VOL. 1 - Special	RBC0424437		
8080 Test Library	CAPTAIN AMERICA: SAM WILSON VOL. 2 - STANDOFF - Special	RBC0424438		
8080 Test Library	CAPTAIN AMERICA: SAM WILSON VOL. 3 - CIVIL WAR II - Special	RBC0424439		
8080 Test Library	CAPTAIN AMERICA: SAM WILSON VOL. 4 - #TAKEBACKTHESHIELD - Special	RBC0424440		
8080 Test Library	CAPTAIN AMERICA: SAM WILSON VOL. 5 - END OF THE LINE - Special	RBC0424441		
8080 Test Library	CAPTAIN AMERICA: STEVE ROGERS VOL. 1 - HAIL HYDRA - Special	RBC0424442		
8080 Test Library	CAPTAIN AMERICA: STEVE ROGERS VOL. 2 - THE TRIAL OF MARIA HILL - Special	RBC0424443		
8080 Test Library	CAPTAIN AMERICA: STEVE ROGERS VOL. 3 - EMPIRE BUILDING - Special	RBC0424444		
8080 Test Library	CAPTAIN AMERICA: THE DEATH OF CAPTAIN AMERICA VOL. 1 - THE DEATH OF THE DREAM - Special	RBC0424445		
8080 Test Library	CAPTAIN AMERICA: THE DEATH OF CAPTAIN AMERICA VOL. 2 - THE BURDEN OF DREAMS - Special	RBC0424446		
8080 Test Library	CAPTAIN AMERICA: THE DEATH OF CAPTAIN AMERICA VOL. 3 - THE MAN WHO BOUGHT AMERICA - Special	RBC0424447		
8080 Test Library	CAPTAIN AMERICA: THE MAN WITH NO FACE - Special	RBC0424448		
8080 Test Library	CAPTAIN AMERICA: TRIAL OF CAPTAIN AMERICA - Special	RBC0424449		
8080 Test Library	CAPTAIN AMERICA: TWO AMERICAS - Special	RBC0424450		
8080 Test Library	CAPTAIN AMERICA: WHITE - Special	RBC0424451		
8080 Test Library	CAPTAIN AMERICA: WINTER SOLDIER VOL. 1 - Special	RBC0424452		
8080 Test Library	CAPTAIN AMERICA: WINTER SOLDIER VOL. 2 - Special	RBC0424453		
8080 Test Library	CAPTAIN MARVEL VOL. 1: HIGHER, FURTHER, FASTER, MORE - Special	RBC0424456		
8080 Test Library	CAPTAIN MARVEL VOL. 1: IN PURSUIT OF FLIGHT - Special	RBC0424459		
8080 Test Library	CAPTAIN MARVEL VOL. 1: RISE OF ALPHA FLIGHT - Special	RBC0424454		
8080 Test Library	CAPTAIN MARVEL VOL. 2: CIVIL WAR II - Special	RBC0424455		
8080 Test Library	CAPTAIN MARVEL VOL. 2: DOWN - Special	RBC0424460		
8080 Test Library	CAPTAIN MARVEL VOL. 2: STAY FLY - Special	RBC0424457		
8080 Test Library	CAPTAIN MARVEL VOL. 3: ALIS VOLAT PROPRIIS - Special	RBC0424458		
8080 Test Library	Cartoon Network: Super Secret Crisis War! Vol. 1	RBC0424260		
8080 Test Library	Cartoon Network: Super Secret Crisis War! Vol. 2	RBC0424262		
8080 Test Library	CHAMPIONS VOL. 1: CHANGE THE WORLD - Special	RBC0424461		
8080 Test Library	Chasing the Dead	RBC0406798		
