For Period: from 01/01/2017 to 01/01/2017
Title	Barcode	Email	Library	RBID	Checkouts	Time Period	Current Issue Default	Status	Checkout Date	Issue Date
What Digital SLR				RBZ0007034	0	Annually	Unlimited	Inactive		
Star Wars: The Clones Wars Comic				RBZ0007035	0	Annually	Unlimited	Inactive		
Studio				RBZ0007036	0	Annually	Unlimited	Inactive		
Star Wars Souvenir Special				RBZ0007038	0	Annually	Unlimited	Inactive		
Star Trek Souvenir Special				RBZ0007041	0	Annually	Unlimited	Inactive		
PC Plus				RBZ0007045	0	Annually	Unlimited	Inactive		
Performance VW				RBZ0007047	0	Annually	Unlimited	Inactive		
360 Magazine				RBZ0007048	0	Annually	Unlimited	Inactive		
UEFA EURO 2012™ Official Guide				RBZ0007058	0	Annually	Unlimited	Inactive		
The Official UEFA Champions League Magazine				RBZ0007060	0	Annually	Unlimited	Inactive		
UEFA EURO 2012™ Official Preview Guide				RBZ0007062	0	Annually	Unlimited	Inactive		
UEFA EURO 2012™ Official Programme				RBZ0007064	0	Annually	Unlimited	Inactive		
What Laptop				RBZ0007066	0	Annually	Unlimited	Inactive		
The Oldie				RBZ0007068	0	Annually	Unlimited	Inactive		
Psychologies UK				RBZ0007073	0	Annually	Unlimited	Inactive		
Abilities				RBZ0007081	0	Annually	Unlimited	Inactive		
Zest				RBZ0007084	0	Annually	Unlimited	Inactive		
Ships Monthly				RBZ0007091	0	Annually	Unlimited	Inactive		
Tennishead				RBZ0007093	0	Monthly	2500	Active		
Psychologies Belgique				RBZ0007098	0	Annually	Unlimited	Inactive		
The Economist - Canada				RBZ0007102	0	Annually	Unlimited	Inactive		
Digital Photography Techniques				RBZ0007104	0	Annually	Unlimited	Inactive		
PLAYBOY'S Lingerie				RBZ0001070	0	Annually	Unlimited	Inactive		
My Home 漂亮家居				RBZ0001057	0	Annually	Unlimited	Inactive		
Vietnam Guide				RBZ0007519	0	Annually	Unlimited	Inactive		
The Official England Cricket Match Day Programme				RBZ0007110	0	Annually	Unlimited	Inactive		
