For Period: from 01/01/2017 to 01/22/2017
Title	Barcode	Email	Branch	RBID	Checkouts	Time Period	Current Issue Default	Status
Angel: Lorne				RBC0387445	0	Monthly	25	Active
Mars Attacks, Vol. 1: Attack From Space				RBC0387513	0	Monthly	25	Active
Angel: Old Friends				RBC0387451	0	Monthly	25	Active
Rocketeer Adventures, Vol. 1				RBC0387917	0	Monthly	25	Active
Angel: Spotlight				RBC0387453	0	Monthly	25	Active
Parker: The Hunter				RBC0387524	0	Monthly	25	Active
Parker: The Score				RBC0455711	0	Monthly	25	Active
Pinky and Stinky				RBC0387526	0	Monthly	25	Active
Popeye: Classics, Vol. 2				RBC0388030	0	Monthly	25	Active
Popeye: Classics, Vol. 1				RBC0388153	0	Monthly	25	Active
Angel: The Curse				RBC0387455	0	Monthly	25	Active
Samurai Jack, Vol. 4: The Warrior-King				RBC0387746	0	Monthly	25	Active
Samurai Jack, Vol. 3: Quest For The Broken Blade				RBC0387745	0	Monthly	25	Active
Samurai Jack, Vol. 2: The Scotsman's Curse				RBC0387744	0	Monthly	25	Active
Samurai Jack, Vol. 1: The Threads of Time				RBC0387743	0	Monthly	25	Active
Shadow Show: Stories In Celebration of Ray Bradbury				RBC0387531	0	Monthly	25	Active
Shockrockets				RBC0387532	0	Monthly	25	Active
Silent Hill: Dying Inside				RBC0387533	0	Monthly	25	Active
