For Period: from 01/01/2017 to 02/01/2017
Title	RBID	Quantity	Issue Date	Library Name
(inside) interior design review	RBZ0002688	1	11/01/2016	southeastzone
25 Beautiful Homes	RBZ0000011	11	01/01/2017	wfhowes
3D World	RBZ0000014	2	12/01/2016	greatermanchester
4 Wheel & Off Road	RBZ0000015	1	01/01/2017	banqqc
5280 Magazine	RBZ0000021	2	10/01/2015	douglascountylibraries
7 Jours	RBZ0000022	7	11/18/2016	banqqc
ABC Organic Gardener Magazine	RBZ0005129	1	01/01/2017	SAPLN
Aero Australia	RBZ0000029	2	01/01/2016	auckland
Allrecipes	RBZ0006296	4	12/01/2016	uplc
Allure	RBZ0005641	4	11/01/2016	edmontonab
Amateur Gardening	RBZ0006696	8	10/29/2016	hertfordshirelibraries
Amateur Photographer	RBZ0000040	18	04/09/2016	hertfordshirelibraries
American History	RBZ0005968	1	10/01/2016	rbdigitalgatewaytrial
American Patchwork & Quilting	RBZ0000046	8	02/01/2017	mainincnj
AppleMagazine	RBZ0000059	9	07/15/2016	cinhamiltonoh
Architectural Digest	RBZ0005581	8	01/01/2017	mainincnj
Art & Décoration	RBZ0006171	2	12/01/2016	rbdigitaltrial
Art Almanac	RBZ0005834	3	09/01/2016	wapldmc
Artist's Palette	RBZ0007484	1	04/01/2016	wapldmc
Artists & Illustrators	RBZ0000066	31	01/01/2017	SAPLN
Astronomy	RBZ0000068	8	01/01/2017	northeastlibrarydistrict
Audubon Magazine	RBZ0000074	2	11/01/2016	lmxac
Australian 4WD & SUV Buyer's Guide	RBZ0005096	1	09/01/2016	southeastzone
Australian 4WD Action	RBZ0007788	1	11/01/2016	SAPLN
Australian FourFourTwo	RBZ0000077	2	02/01/2016	auckland
Australian Golf Digest	RBZ0000078	2	10/01/2016	SAPLN
Australian Handyman	RBZ0000080	4	12/01/2016	SAPLN
Australian Home Beautiful	RBZ0000082	1	10/01/2016	campbelltown
Australian Homespun	RBZ0000083	2	10/01/2016	southernsydney
Australian House & Garden	RBZ0005792	4	01/01/2017	hawkesbury
Australian Knitting	RBZ0007535	3	04/01/2015	SAPLN
Australian Mountain Bike	RBZ0006424	1	09/01/2016	easternregionallibraries
Australian Natural Health Magazine	RBZ0005599	1	12/01/2016	auckland
Australian Road Rider	RBZ0000090	4	12/01/2016	SAPLN
Australian Trailrider	RBZ0000093	3	08/01/2016	SAPLN
Australian Yoga Journal	RBZ0000095	1	01/01/2017	melbourne
Autocar	RBZ0007099	6	11/09/2016	hampshire
Automobile	RBZ0001299	1	12/01/2016	banqqc
Backpacker	RBZ0000105	3	10/01/2016	douglascountylibraries
Backyard & Garden Design Ideas	RBZ0000106	1	04/01/2016	hornsby
BBC Good Food Magazine	RBZ0000112	16	10/01/2016	librariesni
BBC Top Gear Magazine	RBZ0002502	10	01/01/2017	hertfordshirelibraries
Beanies Shawls and Scarves	RBZ0007510	1	04/01/2016	SAPLN
Belle	RBZ0005116	1	11/01/2016	brisbane
Better Homes and Gardens Australia	RBZ0000139	8	05/01/2016	wapldmc
Better Nutrition	RBZ0004675	1	09/01/2016	auckland
Bicycle Times	RBZ0000140	1	10/01/2016	calgaryab
Bicycling	RBZ0000141	2	05/01/2016	rbdigitalgatewaytrial
Bicycling Australia	RBZ0000142	2	09/01/2016	SAPLN
BIKE	RBZ0007870	3	01/01/2017	eastsussex
BlueWater Boats & Sportsfishing	RBZ0000157	1	09/01/2016	SAPLN
Boating	RBZ0000160	2	11/01/2016	harfordcountymd
Boating NZ	RBZ0001697	1	12/01/2016	auckland
Bon Appetit	RBZ0005580	1	12/01/2016	lmxac
Brides	RBZ0005640	1	12/01/2016	librariesni
Britain	RBZ0000166	1	03/01/2016	greatermanchester
British GQ	RBZ0000429	1	01/01/2017	banqqc
British Vogue	RBZ0007086	2	11/01/2016	wfhowes
Canadian Living	RBZ0000187	1	01/01/2017	shortgrassab
Canoe & Kayak	RBZ0000189	1	01/01/2017	rbdigitalgatewaytrial
Car and Driver	RBZ0000191	7	01/01/2017	lakelandcoop
Caravan and Motorhome On Tour	RBZ0008237	4	08/01/2016	brisbane
Chat	RBZ0005335	2	11/03/2016	llcuk
Chat Passion	RBZ0000897	2	12/01/2016	llcuk
Chicago Magazine	RBZ0000199	3	12/01/2016	huntleyil
Classic Cars	RBZ0007872	1	01/01/2017	wfhowes
Clin d'oeil	RBZ0000224	2	01/01/2017	auckland
Closer	RBZ0007873	2	12/06/2016	douglascountylibraries
Cloth Paper Scissors	RBZ0000225	1	03/01/2016	westchesterin
Conde Nast Traveler	RBZ0005577	6	12/01/2016	lmxac
Conde Nast Traveller UK	RBZ0000235	2	01/01/2016	lgma
Cook's Country	RBZ0005495	2	12/01/2016	rbdigitalgatewaytrial
Cook's Illustrated	RBZ0005493	2	11/01/2016	capitalareadistrict
COOL!	RBZ0000241	2	01/01/2017	canada50ON
Cosmopolitan	RBZ0000242	3	10/01/2016	milwaukeecountyfederatedwi
Cosmopolitan Australia	RBZ0005122	6	01/01/2017	auckland
Cosmopolitan FR	RBZ0002039	1	01/01/2017	wapldmc
Cosmopolitan UK	RBZ0000247	12	01/01/2017	bromley
Country Homes & Interiors	RBZ0000253	13	01/01/2017	bromley
Country Life	RBZ0000254	15	11/30/2016	brisbane
Country Living	RBZ0000256	6	11/01/2016	easternregionallibraries
Country Living UK	RBZ0000257	7	01/01/2017	banqqc
Country Style	RBZ0004004	1	10/01/2016	SAPLN
Country Walking	RBZ0007874	7	07/01/2016	hertfordshirelibraries
Creative Knitting	RBZ0007543	1	06/01/2016	wapldmc
Creative PaperCraft	RBZ0008937	1	08/01/2016	SAPLN
Cross Stitch Collection	RBZ0000265	9	11/01/2016	easternregionallibraries
Cuisine et Vins de France	RBZ0002909	1	12/01/2016	wapldmc
Cyclist Australia	RBZ0005965	2	07/01/2016	southeastzone
Decanter	RBZ0000278	1	01/01/2017	lgma
delicious	RBZ0004005	2	11/01/2016	christchurch
Delicious UK	RBZ0008266	1	11/01/2016	hertfordshirelibraries
Destination Weddings & Honeymoons	RBZ0000285	1	09/01/2016	rbdigitaltrial
Digital Camera World	RBZ0000294	14	09/01/2016	hertfordshirelibraries
Digital Photo	RBZ0000295	2	10/01/2016	huttcity
Digital Photographer	RBZ0004544	9	11/01/2015	westsussex
Digital SLR Photography	RBZ0000298	5	12/01/2016	hertfordshirelibraries
Discover	RBZ0000304	3	09/01/2016	milwaukeecountyfederatedwi
Dogs Life	RBZ0000307	1	09/01/2016	bridgeportwv
Dolly Magazine Australia	RBZ0007754	1	01/01/2017	Ipswichlibrary
donna hay magazine	RBZ0004006	2	04/01/2016	auckland
donna hay: Fresh + Light	RBZ0008436	2	11/01/2016	goldcoastau
Dr. Oz The Good Life	RBZ0006802	2	12/01/2016	cinhamiltonoh
Dreamscapes Travel & Lifestyle Magazine	RBZ0000316	1	01/01/2016	SAPLN
Dwell	RBZ0000319	4	12/01/2016	mlcmo
Earth Garden	RBZ0007508	1	09/01/2016	wapldmc
EARTH Magazine	RBZ0000324	3	12/01/2016	lmxac
EatingWell	RBZ0000330	2	11/01/2016	knoxtn
Edge	RBZ0002740	1	06/01/2016	eastsussex
Elle	RBZ0000337	7	01/01/2017	seacliffny
ELLE Australia	RBZ0007665	4	10/01/2016	auckland
Elle Canada	RBZ0000338	2	01/01/2017	strathconacoab
Elle Decoration UK	RBZ0006993	4	10/01/2016	hertfordshirelibraries
Empire	RBZ0007876	12	10/01/2016	greatermanchester
ESPN The Magazine	RBZ0000346	1	12/12/2016	huntleyil
Esquire	RBZ0000347	1	11/01/2016	woollahra
Esquire UK	RBZ0000349	2	11/01/2016	auckland
Essentials Magazine	RBZ0001036	1	12/01/2016	wfhowes
Evo	RBZ0000356	5	01/01/2017	SAPLN
F1 Racing Australia	RBZ0000924	5	12/01/2016	SAPLN
Family Circle	RBZ0000362	2	11/01/2014	harfordcountymd
Family Handyman	RBZ0000363	1	06/01/2016	milwaukeecountyfederatedwi
FASHION FOCUS SETS.DRESSES	RBZ0009017	1	03/01/2017	rbdigitalgatewaytrial
FASHION FOCUS WOMAN BEACHWEAR	RBZ0009091	1	10/01/2017	rbdigitaltrial
Feng Shui World	RBZ0003279	1	08/01/2016	auckland
FIDO Friendly	RBZ0000371	1	05/01/2016	harfordcountymd
Field & Stream	RBZ0000372	1	07/01/2015	harfordcountymd
First for Women	RBZ0008598	1	01/02/2017	douglascountylibraries
Fit & Well	RBZ0007807	1	11/01/2016	SAPLN
Food Network Magazine	RBZ0000383	3	10/01/2016	wales
Foreword Reviews	RBZ0001481	1	08/01/2016	wapldmc
Future Music	RBZ0000395	1	11/01/2016	SAPLN
Games World of Puzzles	RBZ0000398	1	01/01/2017	easternregionallibraries
Gamesmaster	RBZ0000399	2	12/01/2016	westsussex
Gardening Australia	RBZ0000404	3	07/01/2016	thehills
Girlfriend Australia	RBZ0000409	1	11/01/2016	auckland
Glamour	RBZ0005576	4	01/01/2017	lakelandcoop
Glamour UK	RBZ0000411	1	12/01/2016	lgma
Gluten-Free Living	RBZ0000412	1	05/01/2016	southeastzone
Golf Australia	RBZ0000415	3	05/01/2016	shorelink
Golf Monthly	RBZ0000416	6	08/01/2016	northyorkshire
Good Health	RBZ0005115	1	01/01/2017	campbelltown
Good Housekeeping	RBZ0000420	10	12/01/2016	cinhamiltonoh
Good Housekeeping UK	RBZ0000423	8	12/01/2016	Suffolk
Gourmet Traveller	RBZ0006979	1	11/01/2016	wapldmc
GQ	RBZ0005575	2	10/01/2016	douglascountylibraries
GQ Australia	RBZ0000427	2	11/01/2016	southeastzone
Grazia	RBZ0007879	2	11/21/2016	kensingtonandchelsea
Great Walks	RBZ0008608	1	11/15/2016	gleneira
Harper's Bazaar	RBZ0000447	2	12/01/2016	oclnny
Harper's Bazaar Australia	RBZ0005127	1	11/01/2016	lakemacquarie
Healthy Food Guide	RBZ0005551	4	11/01/2016	hornsby
Heat	RBZ0007880	4	11/19/2016	derbyshire
HELLO! magazine	RBZ0000458	9	11/28/2016	christchurch
Hemmings Motor News	RBZ0008656	2	01/01/2017	rbdigitaltrial
HGTV Magazine	RBZ0003848	1	07/01/2016	oclnny
High Five	RBZ0007848	3	01/01/2017	metropolitanok
High Times	RBZ0001370	1	11/01/2016	rbdigitalgatewaytrial
Highlights for Children	RBZ0007847	1	01/01/2017	lakelandcoop
HOLA	RBZ0001200	1	11/23/2016	llcuk
Homes & Gardens	RBZ0000472	9	12/01/2016	porirua
Homes +	RBZ0007756	2	11/01/2016	SAPLN
