For Period: from 01/01/2017 to 01/22/2017
Title	Barcode	Email	Library	RBID	Checkouts	Time Period	Current Issue Default	Status
Mars Attacks, Vol. 1: Attack From Space				RBC0387513	0	Monthly	25	Active
Angel: Old Friends				RBC0387451	0	Monthly	25	Active
Rocketeer Adventures, Vol. 1				RBC0387917	0	Monthly	25	Active
Angel: Spotlight				RBC0387453	0	Monthly	25	Active
Parker: The Hunter				RBC0387524	0	Monthly	25	Active
Parker: The Score				RBC0455711	0	Monthly	25	Active
Popeye: Classics, Vol. 2				RBC0388030	0	Monthly	25	Active
Popeye: Classics, Vol. 1				RBC0388153	0	Monthly	25	Active
Angel: The Curse				RBC0387455	0	Monthly	25	Active
Samurai Jack, Vol. 4: The Warrior-King				RBC0387746	0	Monthly	25	Active
Samurai Jack, Vol. 3: Quest For The Broken Blade				RBC0387745	0	Monthly	25	Active
Samurai Jack, Vol. 2: The Scotsman's Curse				RBC0387744	0	Monthly	25	Active
Samurai Jack, Vol. 1: The Threads of Time				RBC0387743	0	Monthly	25	Active
Shadow Show: Stories In Celebration of Ray Bradbury				RBC0387531	0	Monthly	25	Active
Shockrockets				RBC0387532	0	Monthly	25	Active
Silent Hill: Dying Inside				RBC0387533	0	Monthly	25	Active
Spike: After The Fall, Vol.1				RBC0387976	0	Monthly	25	Active
Star Mage				RBC0387539	0	Monthly	25	Active
Star Slammers: The Complete Collection by Walter Simonson				RBC0387975	0	Monthly	25	Active
Star Trek, Vol. 6: After Darkness				RBC0387426	0	Monthly	25	Active
Star Trek, Vol. 5				RBC0387443	0	Monthly	25	Active
Star Trek, Vol. 4				RBC0387442	0	Monthly	25	Active
Star Trek, Vol. 3				RBC0387441	0	Monthly	25	Active
Star Trek, Vol. 2				RBC0387440	0	Monthly	25	Active
Star Trek, Vol. 1				RBC0387439	0	Monthly	25	Active
Star Trek Vol. 9: The Q Gambit				RBC0424302	0	Monthly	25	Active
Star Trek Vol. 8				RBC0424301	0	Monthly	25	Active
Star Trek Vol. 7				RBC0424300	0	Monthly	25	Active
Superstar: As Seen On TV				RBC0387542	0	Monthly	25	Active
The Crow: Midnight Legends, Vol. 4: Waking Nightmares				RBC0387546	0	Monthly	25	Active
The Crow: Midnight Legends, Vol. 3: Wild Justice				RBC0387545	0	Monthly	25	Active
The Crow: Midnight Legends, Vol. 2: Flesh & Blood				RBC0387544	0	Monthly	25	Active
The Crow: Midnight Legends, Vol. 1: Dead Time				RBC0387543	0	Monthly	25	Active
The Crow: Memento Mori				RBC0457461	0	Monthly	25	Active
The Hammer: Kelley Jones' Complete Series				RBC0387548	0	Monthly	25	Active
The Lovely Horrible Stuff				RBC0387549	0	Monthly	25	Active
The Maxx: Maxximized, Vol. 2				RBC0387551	0	Monthly	25	Active
The Maxx: Maxximized, Vol. 1				RBC0387550	0	Monthly	25	Active
The Rocketeer: Cargo of Doom				RBC0387553	0	Monthly	25	Active
Danger Girl: Trinity				RBC0387469	0	Monthly	25	Active
Torpedo, Volume 1				RBC0387557	0	Monthly	25	Active
Transformers: Animated, Vol. 09				RBC0387574	0	Monthly	25	Active
Transformers: Animated, Vol. 08				RBC0387573	0	Monthly	25	Active
Transformers: Animated, Vol. 07				RBC0387572	0	Monthly	25	Active
Transformers: Animated, Vol. 06				RBC0387571	0	Monthly	25	Active
Transformers: Animated, Vol. 05				RBC0387570	0	Monthly	25	Active
Transformers: Animated, Vol. 04				RBC0387569	0	Monthly	25	Active
Transformers: Animated, Vol. 03				RBC0387568	0	Monthly	25	Active
Transformers: Animated, Vol. 02				RBC0387567	0	Monthly	25	Active
Transformers: Animated, Vol. 13				RBC0387566	0	Monthly	25	Active
Transformers: Animated Vol. 12				RBC0387565	0	Monthly	25	Active
Transformers: Animated, Vol. 11				RBC0387564	0	Monthly	25	Active
Transformers: Animated, Vol. 10				RBC0387563	0	Monthly	25	Active
Transformers: Animated Vol. 01				RBC0387562	0	Monthly	25	Active
Triple Helix				RBC0387594	0	Monthly	25	Active
True Blood Vol. 1: Where Were You				RBC0387595	0	Monthly	25	Active
Upside Down, Book 1: A Vampire Tale				RBC0387598	0	Monthly	25	Active
Transformers: Spotlight - Bumblebee				RBC0387593	0	Monthly	25	Active
Transformers: Sector 7				RBC0387592	0	Monthly	25	Active
Transformers: Robots in Disguise, Vol. 5				RBC0387591	0	Monthly	25	Active
Transformers: Robots in Disguise, Vol. 4				RBC0387590	0	Monthly	25	Active
Transformers: Robots in Disguise, Vol. 3				RBC0387589	0	Monthly	25	Active
Transformers: Robots in Disguise, Vol. 2				RBC0387588	0	Monthly	25	Active
Transformers: Robots in Disguise, Vol. 1				RBC0387587	0	Monthly	25	Active
Crysis				RBC0389798	0	Monthly	25	Active
