For Period: from 01/01/2017 to 01/08/2017
Title	Comic Bundle Name	Content Rating	Publisher	Checkouts
Plants vs. Zombies: Lawnmageddon	com.iversecomics.dark.horse.plants.vs.zombies.lawnmageddon.english.04132016	Middle Grades (ages 9+)	Dark Horse	16
Naruto Vol #1	com.iversecomics.viz.naruto.vol.one.05222013	Teens/Young Adults (ages 13+)	VIZ Media	15
The Art of Plants vs. Zombies	com.iversecomics.dark.horse.the.art.of.plants.vs.zombies.english.04282016	Middle Grades (ages 9+)	Dark Horse	7
A&A: The Adventures of Archer & Armstrong #11	com.iversecomics.valiant.aa.the.adventures.of.archer.armstrong.eleven.english.12282016	Teens/Young Adults (ages 13+)	Valiant	7
Fowl Language	com.iversecomics.andrews.mcmeel.fowl.language.english.02232016	Teens/Young Adults (ages 13+)	Andrews McMeel	6
Angry Birds: Comic #3.1	com.iversecomics.idw.angry.birds.mini.comic.five.english.07232014	Kids (ages 5+)	IDW	6
Jurassic Park: Dangerous Games #1	com.iversecomics.idw.jurassic.park.dangerous.games.one.09192011	Teens/Young Adults (ages 13+)	IDW	6
Big Nate: and Friends	com.iversecomics.andrews.mcmeel.big.nate.and.friends.02222013	Kids (ages 5+)	Andrews McMeel	5
Shahrazad	com.iversecomics.aspen.comics.shahrazad.english.08132015	Teens/Young Adults (ages 13+)	Aspen Comics	5
Predator Versus Judge Dredd Versus Aliens	com.iversecomics.dark.horse.predator.versus.judge.dredd.versus.aliens.english.04132016	Mature (ages 16+)	Dark Horse	5
Alice in Wonderland	com.iversecomics.dark.horse.alice.in.wonderland.english.04082016	Middle Grades (ages 9+)	Dark Horse	4
The Lone Ranger (2012-) #20	com.iversecomics.dynamite.the.lone.ranger.2012.twenty.english.08232016	Mature (ages 16+)	Dynamite	4
Vampirella: Hollywood Horror	com.iversecomics.dynamite.vampirella.hollywood.horror.english.11252016	Mature (ages 16+)	Dynamite	4
Skylanders #0	com.iversecomics.idw.skylanders.zero.english.07022014	Teens/Young Adults (ages 13+)	IDW	4
Cinderella: Serial Killer Princess #1	com.iversecomics.zenescope.cinderella.serial.killer.princess.one.english.11282016	Mature (ages 16+)	Zenescope	4
Aliens Omnibus Volume 3	com.iversecomics.dark.horse.aliens.omnibus.volume.3.english.04082016	Mature (ages 16+)	Dark Horse	3
Aliens Omnibus Volume 4	com.iversecomics.dark.horse.aliens.omnibus.volume.4.english.04082016	Mature (ages 16+)	Dark Horse	3
Buffy The Vampire Slayer Season 8 Library Edition Vol. 3	com.iversecomics.dark.horse.buffy.the.vampire.slayer.season.8.library.edition.vol.3.english.04142016	Mature (ages 16+)	Dark Horse	3
Heart Transplant	com.iversecomics.dark.horse.heart.transplant.english.04132016	Teens/Young Adults (ages 13+)	Dark Horse	3
Pathfinder #5	com.iversecomics.dynamite.pathfinder.five.01312013	Teens/Young Adults (ages 13+)	Dynamite	3
Back to the Future #12	com.iversecomics.idw.back.to.the.future.twelve.english.09212016	Teens/Young Adults (ages 13+)	IDW	3
Back to the Future #2	com.iversecomics.idw.back.to.the.future.two.english.11092015	Teens/Young Adults (ages 13+)	IDW	3
Alice in Wonderland #5	com.iversecomics.zenescope.alice.in.wonderland.five.11162012	Mature (ages 16+)	Zenescope	3
Best of Zenescope Special Edition #1	com.iversecomics.zenescope.best.of.zenescope.special.edition.one.02162013	Mature (ages 16+)	Zenescope	3
Beyond Wonderland	com.iversecomics.zenescope.beyond.wonderland.english.12182013	Mature (ages 16+)	Zenescope	3
Robyn Hood: I Love NY #7	com.iversecomics.zenescope.robyn.hood.i.love.ny.seven.english.12122016	Mature (ages 16+)	Zenescope	3
Afterlife With Archie #1	com.iversecomics.afterlife.with.archie.afterlife.with.archie.one.09192013	Teens/Young Adults (ages 13+)	Archie Comics	2
Big Nate: From the Top	com.iversecomics.andrews.mcmeel.big.nate.from.the.top.02222013	Kids (ages 5+)	Andrews McMeel	2
Cul de Sac: Complete Collection Vol #1	com.iversecomics.andrews.mcmeel.cul.de.sac.complete.collection.vol.one.english.04292014	Teens/Young Adults (ages 13+)	Andrews McMeel	2
Doonesbury 40: Vol #4 A Doonesbury Retrospective 2000 to 2009	com.iversecomics.andrews.mcmeel.doonesbury.40.vol.four.a.doonesbury.retrospective.two.thousand..to.two.thousand.nine.02012013	Teens/Young Adults (ages 13+)	Andrews McMeel	2
Doonesbury: My Shorts R Bunching. Thoughts?	com.iversecomics.andrews.mcmeel.doonesbury.my.shorts.r.bunching.thoughts.02012013	Teens/Young Adults (ages 13+)	Andrews McMeel	2
Lucky Cow	com.iversecomics.andrews.mcmeel.lucky.cow.03302013	Middle Grades (ages 9+)	Andrews McMeel	2
Archie (2015) #2	com.iversecomics.archie.comics.archie.2015.two.english.08062015	Middle Grades (ages 9+)	Archie Comics	2
Archie 75 Series #11 Archie Giant Series	com.iversecomics.archie.comics.archie.75.series.eleven.archie.giant.series.english.02082016	Middle Grades (ages 9+)	Archie Comics	2
Shahrazad #2	com.iversecomics.aspen.comics.shahrazad.two.english.04222015	Teens/Young Adults (ages 13+)	Aspen Comics	2
10th Muse Gallery: Cindy Margolis	com.iversecomics.bluewater.productions.10th.muse.gallery.cindy.margolis.04102013	Teens/Young Adults (ages 13+)	Stormfront Publishing	2
Adventure Time #22	com.iversecomics.boom.studios.adventure.time.twenty.two.english.11162013	Middle Grades (ages 9+)	BOOM! Studios	2
School Bites #8	com.iversecomics.broadsword.comics.school.bites.eight.01252012	Mature (ages 16+)	BroadSword Comics	2
School Bites #5	com.iversecomics.broadsword.comics.school.bites.five.01112012	Mature (ages 16+)	BroadSword Comics	2
School Bites #9	com.iversecomics.broadsword.comics.school.bites.nine.08312012	Mature (ages 16+)	BroadSword Comics	2
School Bites #7	com.iversecomics.broadsword.comics.school.bites.seven.01252012	Mature (ages 16+)	BroadSword Comics	2
School Bites #6	com.iversecomics.broadsword.comics.school.bites.six.12222011	Mature (ages 16+)	BroadSword Comics	2
Ghost Omnibus Volume 4	com.iversecomics.dark.horse.ghost.omnibus.volume.4.english.04132016	Mature (ages 16+)	Dark Horse	2
Hack Slash Eva: Monsters Ball #3	com.iversecomics.dynamite.hack.slash.eva.monsters.ball.three.06292012	Mature (ages 16+)	Dynamite	2
Joze Gonzalez Vampirella Art Edition	com.iversecomics.dynamite.joze.gonzalez.vampirella.art.edition.english.07212016	Mature (ages 16+)	Dynamite	2
Pathfinder #6	com.iversecomics.dynamite.pathfinder.six.04042013	Teens/Young Adults (ages 13+)	Dynamite	2
The Lone Ranger (2012-) #21	com.iversecomics.dynamite.the.lone.ranger.2012.twenty.one.english.08232016	Mature (ages 16+)	Dynamite	2
Vampirella and The Scarlet Legion #1	com.iversecomics.dynamite.vampirella.and.the.scarlet.legion.one.10132011	Mature (ages 16+)	Dynamite	2
Vampirella and The Scarlet Legion #2	com.iversecomics.dynamite.vampirella.and.the.scarlet.legion.two.10142011	Mature (ages 16+)	Dynamite	2
3 Devils #2	com.iversecomics.idw.3.devils.two.english.03212016	Mature (ages 16+)	IDW	2
Amazing Forest #3	com.iversecomics.idw.amazing.forest.three.english.02082016	Mature (ages 16+)	IDW	2
Back to the Future #8	com.iversecomics.idw.back.to.the.future.eight.english.05242016	Teens/Young Adults (ages 13+)	IDW	2
Back to the Future #11	com.iversecomics.idw.back.to.the.future.eleven.english.09052016	Teens/Young Adults (ages 13+)	IDW	2
Back to the Future #5	com.iversecomics.idw.back.to.the.future.five.english.02232016	Teens/Young Adults (ages 13+)	IDW	2
Back to the Future #4	com.iversecomics.idw.back.to.the.future.four.english.01112016	Teens/Young Adults (ages 13+)	IDW	2
Back to the Future #9	com.iversecomics.idw.back.to.the.future.nine.english.06272016	Teens/Young Adults (ages 13+)	IDW	2
Back to the Future #7	com.iversecomics.idw.back.to.the.future.seven.english.04122016	Teens/Young Adults (ages 13+)	IDW	2
Back to the Future #6	com.iversecomics.idw.back.to.the.future.six.english.03212016	Teens/Young Adults (ages 13+)	IDW	2
Back to the Future #10	com.iversecomics.idw.back.to.the.future.ten.english.07062016	Teens/Young Adults (ages 13+)	IDW	2
